name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	13.28	3	1	9	9	0	9	1	0
playerVirtual2	1	5.98	3	1	4	4	0	4	1	0
playerVirtual3	1	8.97	3	1	6	6	0	6	1	0
playerVirtual4	1	10.62	3	1	6	6	0	6	1	0
playerVirtual5	1	10.96	3	1	8	6	0	6	1	0
playerVirtual6	2	4.98	5	1	3	2	0	2	1	0
playerVirtual7	2	3.32	5	1	2	2	0	2	1	0
playerVirtual9	1	9.29	3	1	5	5	0	5	1	0
playerVirtual0	1	6.64	3	1	4	4	0	4	1	0
playerVirtual10	4	-5	0	1	5	0	0	99	0	1
playerVirtual11	4	-6	0	1	6	0	0	99	0	1
playerVirtual12	4	-6	0	1	6	0	0	99	0	1
playerVirtual13	4	-2.01	0	1	7	0	0	99	0	1
playerVirtual14	3	1.99	1	0	3	0	0	99	1	0
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	14.61	4	1	9	9	0	9	1	0
playerVirtual2	1	5.98	4	1	4	4	0	4	1	0
playerVirtual3	1	8.97	4	1	6	6	0	6	1	0
playerVirtual4	1	10.62	4	1	6	6	0	6	1	0
playerVirtual5	1	12.62	4	1	8	6	0	6	1	0
playerVirtual6	2	4.98	6	1	3	2	0	2	1	0
playerVirtual7	2	3.32	6	1	2	2	0	2	1	0
playerVirtual9	1	9.29	4	1	5	5	0	5	1	0
playerVirtual0	1	6.64	4	1	4	4	0	4	1	0
playerVirtual10	4	-5	0	1	5	0	0	99	0	1
playerVirtual11	4	-6	0	1	6	0	0	99	0	1
playerVirtual12	4	-6	0	1	6	0	0	99	0	1
playerVirtual13	4	-2.01	0	1	7	0	0	99	0	1
playerVirtual14	3	-3.34	1	0	6	1	0	99	1	1
playerVirtual15	3	0.66	1	0	2	1	0	99	1	0
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	14.61	4	1	9	9	0	9	1	0
playerVirtual2	1	5.98	4	1	5	4	0	4	1	0
playerVirtual3	1	8.97	4	1	7	6	0	6	1	0
playerVirtual4	1	10.62	4	1	6	5	0	6	1	0
playerVirtual5	1	12.62	4	1	8	6	0	6	1	0
playerVirtual6	2	4.98	7	1	3	2	0	2	1	0
playerVirtual7	2	3.32	7	1	2	2	0	2	1	0
playerVirtual9	1	9.29	4	1	5	5	0	5	1	0
playerVirtual0	1	6.64	4	1	4	4	0	4	1	0
playerVirtual10	4	-5	0	1	5	0	0	99	0	1
playerVirtual11	4	-6	0	1	6	0	0	99	0	1
playerVirtual12	4	-6	0	1	6	0	0	99	0	1
playerVirtual13	4	-2.01	0	1	7	0	0	99	0	1
playerVirtual14	3	-7	0	1	7	0	0	99	1	1
playerVirtual15	3	-3	1	0	3	0	0	99	1	1
playerVirtual16	3	-1	0	0	1	0	0	99	1	1
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	14.61	5	1	9	8	0	9	1	0
playerVirtual2	1	7.31	5	1	5	4	0	4	1	0
playerVirtual3	1	10.63	5	1	7	6	0	6	1	0
playerVirtual4	1	11.95	5	1	7	6	0	6	1	0
playerVirtual5	1	12.62	5	1	8	6	0	6	1	0
playerVirtual6	2	4.98	8	1	3	2	0	2	1	0
playerVirtual7	2	3.32	8	1	2	2	0	2	1	0
playerVirtual9	1	9.29	5	1	5	5	0	5	1	0
playerVirtual0	1	6.64	5	1	4	4	0	4	1	0
playerVirtual10	4	-5	0	1	5	0	0	99	0	1
playerVirtual11	4	-6	0	1	6	0	0	99	0	1
playerVirtual12	4	-6	0	1	6	0	0	99	0	1
playerVirtual13	4	-2.01	0	1	7	0	0	99	0	1
playerVirtual14	4	-7	0	1	7	0	0	99	0	1
playerVirtual15	3	-3	0	1	3	0	0	99	1	1
playerVirtual16	4	-1	0	0	1	0	0	99	0	1
playerVirtual17	3	-1	0	0	1	0	0	99	1	1
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	14.61	5	1	10	9	0	9	1	0
playerVirtual2	1	7.31	5	1	5	4	0	4	1	0
playerVirtual3	1	10.63	5	1	7	6	0	6	1	0
playerVirtual4	1	11.95	5	1	7	6	0	6	1	0
playerVirtual5	1	12.62	5	1	8	6	0	6	1	0
playerVirtual6	2	4.98	9	1	3	2	0	2	1	0
playerVirtual7	2	3.32	9	1	2	2	0	2	1	0
playerVirtual9	1	9.29	5	1	5	5	0	5	1	0
playerVirtual0	1	6.64	5	1	4	4	0	4	1	0
playerVirtual10	4	-5	0	1	5	0	0	99	0	1
playerVirtual11	4	-6	0	1	6	0	0	99	0	1
playerVirtual12	4	-6	0	1	6	0	0	99	0	1
playerVirtual13	4	-2.01	0	1	7	0	0	99	0	1
playerVirtual14	4	-7	0	1	7	0	0	99	0	1
playerVirtual15	4	-1.34	0	1	4	1	0	99	0	1
playerVirtual16	4	-1	0	0	1	0	0	99	0	1
playerVirtual17	3	0.33	0	0	2	1	0	99	1	0
playerVirtual18	3	-1	0	0	1	0	0	99	1	1
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	15.94	6	1	10	8	0	9	1	0
playerVirtual2	1	7.31	6	1	5	4	0	4	1	0
playerVirtual3	1	10.63	6	1	7	6	0	6	1	0
playerVirtual4	1	11.95	6	1	7	6	0	6	1	0
playerVirtual5	1	12.62	6	1	8	6	0	6	1	0
playerVirtual6	2	4.98	10	1	3	2	0	2	1	0
playerVirtual7	2	3.32	10	1	2	2	0	2	1	0
playerVirtual9	1	9.29	6	1	5	5	0	5	1	0
playerVirtual0	1	6.64	6	1	4	3	0	4	1	0
playerVirtual10	4	-5	0	1	5	0	0	99	0	1
playerVirtual11	4	-6	0	1	6	0	0	99	0	1
playerVirtual12	4	-6	0	1	6	0	0	99	0	1
playerVirtual13	4	-2.01	0	1	7	0	0	99	0	1
playerVirtual14	4	-7	0	1	7	0	0	99	0	1
playerVirtual15	4	-1.34	0	1	4	0	0	99	0	1
playerVirtual16	4	-1	0	0	1	0	0	99	0	1
playerVirtual17	3	-3	0	0	3	0	0	99	1	1
playerVirtual18	4	-3	0	0	3	0	0	99	0	1
playerVirtual19	3	-1	0	0	1	0	0	99	1	1
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	15.94	6	1	10	7	0	9	1	0
playerVirtual2	1	7.31	6	1	5	4	0	4	1	0
playerVirtual3	1	10.63	6	1	7	6	0	6	1	0
playerVirtual4	1	11.95	6	1	7	6	0	6	1	0
playerVirtual5	1	12.62	6	1	8	5	0	6	1	0
playerVirtual6	2	4.98	11	1	3	2	0	2	1	0
playerVirtual7	2	3.32	11	1	2	2	0	2	1	0
playerVirtual9	1	9.29	6	1	5	5	0	5	1	0
playerVirtual0	1	6.64	6	1	5	4	0	4	1	0
playerVirtual10	4	-5	0	1	5	0	0	99	0	1
playerVirtual11	4	-6	0	1	6	0	0	99	0	1
playerVirtual12	4	-6	0	1	6	0	0	99	0	1
playerVirtual13	4	-2.01	0	1	7	0	0	99	0	1
playerVirtual14	4	-7	0	1	7	0	0	99	0	1
playerVirtual15	4	-1.34	0	1	4	0	0	99	0	1
playerVirtual16	4	-1	0	0	1	0	0	99	0	1
playerVirtual17	4	-3	0	1	3	0	0	99	0	1
playerVirtual18	4	-3	0	0	3	0	0	99	0	1
playerVirtual19	4	-2	0	0	2	0	0	99	0	1
playerVirtual20	3	-1	0	0	1	0	0	99	1	1
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	15.94	7	1	10	7	0	9	1	0
playerVirtual2	1	7.31	7	1	5	4	0	4	1	0
playerVirtual3	1	10.63	7	1	7	6	0	6	1	0
playerVirtual4	1	11.95	7	1	7	6	0	6	1	0
playerVirtual5	1	14.28	7	1	9	6	0	6	1	0
playerVirtual6	2	4.98	12	1	3	2	0	2	1	0
playerVirtual7	2	3.32	12	1	2	2	0	2	1	0
playerVirtual9	1	9.29	7	1	5	5	0	5	1	0
playerVirtual0	1	8.3	7	1	5	4	0	4	1	0
playerVirtual10	4	-5	0	1	5	0	0	99	0	1
playerVirtual11	4	-6	0	1	6	0	0	99	0	1
playerVirtual12	4	-6	0	1	6	0	0	99	0	1
playerVirtual13	4	-2.01	0	1	7	0	0	99	0	1
playerVirtual14	4	-7	0	1	7	0	0	99	0	1
playerVirtual15	4	-1.34	0	1	4	0	0	99	0	1
playerVirtual16	4	-1	0	0	1	0	0	99	0	1
playerVirtual17	4	-3	0	1	3	0	0	99	0	1
playerVirtual18	4	-3	0	0	3	0	0	99	0	1
playerVirtual19	4	-2	0	0	2	0	0	99	0	1
playerVirtual20	4	-1	0	0	1	0	0	99	0	1
playerVirtual21	3	-1	0	0	1	0	0	99	1	1
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	15.94	7	1	11	8	0	9	1	0
playerVirtual2	1	7.31	7	1	5	4	0	4	1	0
playerVirtual3	1	10.63	7	1	7	6	0	6	1	0
playerVirtual4	1	11.95	7	1	7	6	0	6	1	0
playerVirtual5	1	14.28	7	1	10	6	0	6	1	0
playerVirtual6	2	4.98	13	1	3	2	0	2	1	0
playerVirtual7	2	3.32	13	1	2	2	0	2	1	0
playerVirtual9	1	9.29	7	1	5	5	0	5	1	0
playerVirtual0	1	8.3	7	1	5	4	0	4	1	0
playerVirtual10	4	-5	0	1	5	0	0	99	0	1
playerVirtual11	4	-6	0	1	6	0	0	99	0	1
playerVirtual12	4	-6	0	1	6	0	0	99	0	1
playerVirtual13	4	-2.01	0	1	7	0	0	99	0	1
playerVirtual14	4	-7	0	1	7	0	0	99	0	1
playerVirtual15	4	-1.34	0	1	4	0	0	99	0	1
playerVirtual16	4	-1	0	0	1	0	0	99	0	1
playerVirtual17	4	-3	0	1	3	0	0	99	0	1
playerVirtual18	4	-3	0	0	3	0	0	99	0	1
playerVirtual19	4	-2	0	0	2	0	0	99	0	1
playerVirtual20	4	-1	0	0	1	0	0	99	0	1
playerVirtual21	4	-1	0	0	1	0	0	99	0	1
playerVirtual22	3	-1	0	0	1	0	0	99	1	1
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	19.26	8	1	12	9	0	9	1	0
playerVirtual2	1	8.97	8	1	6	4	0	4	1	0
playerVirtual3	1	10.63	8	1	7	6	0	6	1	0
playerVirtual4	1	11.95	8	1	7	6	0	6	1	0
playerVirtual5	1	16.27	8	1	10	6	0	6	1	0
playerVirtual6	2	4.98	14	1	3	2	0	2	1	0
playerVirtual7	2	3.32	14	1	2	2	0	2	1	0
playerVirtual9	1	9.29	8	1	5	5	0	5	1	0
playerVirtual0	1	8.3	8	1	5	4	0	4	1	0
playerVirtual10	4	-5	0	1	5	0	0	99	0	1
playerVirtual11	4	-6	0	1	6	0	0	99	0	1
playerVirtual12	4	-6	0	1	6	0	0	99	0	1
playerVirtual13	4	-2.01	0	1	7	0	0	99	0	1
playerVirtual14	4	-7	0	1	7	0	0	99	0	1
playerVirtual15	4	-1.34	0	1	4	0	0	99	0	1
playerVirtual16	4	-1	0	0	1	0	0	99	0	1
playerVirtual17	4	-3	0	1	3	0	0	99	0	1
playerVirtual18	4	-3	0	0	3	0	0	99	0	1
playerVirtual19	4	-2	0	0	2	0	0	99	0	1
playerVirtual20	4	-1	0	0	1	0	0	99	0	1
playerVirtual21	4	-1	0	0	1	0	0	99	0	1
playerVirtual22	3	-1	0	0	2	0	0	99	1	1
playerVirtual23	3	0	0	0	1	0	0	99	1	0
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	19.26	8	1	12	8	0	9	1	0
playerVirtual2	1	8.97	8	1	6	4	0	4	1	0
playerVirtual3	1	10.63	8	1	7	6	0	6	1	0
playerVirtual4	1	11.95	8	1	7	6	0	6	1	0
playerVirtual5	1	16.27	8	1	10	5	0	6	1	0
playerVirtual6	2	4.98	14	1	3	2	0	2	1	0
playerVirtual7	2	3.32	14	1	2	2	0	2	1	0
playerVirtual9	1	9.29	8	1	5	5	0	5	1	0
playerVirtual0	1	8.3	8	1	5	4	0	4	1	0
playerVirtual10	4	-5	0	1	5	0	0	99	0	1
playerVirtual11	4	-6	0	1	6	0	0	99	0	1
playerVirtual12	4	-6	0	1	6	0	0	99	0	1
playerVirtual13	4	-2.01	0	1	7	0	0	99	0	1
playerVirtual14	4	-7	0	1	7	0	0	99	0	1
playerVirtual15	4	-1.34	0	1	4	0	0	99	0	1
playerVirtual16	4	-1	0	0	1	0	0	99	0	1
playerVirtual17	4	-3	0	1	3	0	0	99	0	1
playerVirtual18	4	-3	0	0	3	0	0	99	0	1
playerVirtual19	4	-2	0	0	2	0	0	99	0	1
playerVirtual20	4	-1	0	0	1	0	0	99	0	1
playerVirtual21	4	-1	0	0	1	0	0	99	0	1
playerVirtual22	4	-2	0	0	2	0	0	99	0	1
playerVirtual23	3	-1	0	0	2	1	0	99	1	1
playerVirtual24	3	0	0	0	1	0	0	99	1	0
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	19.26	9	1	12	8	0	9	1	0
playerVirtual2	1	8.97	9	1	6	3	0	4	1	0
playerVirtual3	1	10.63	9	1	7	6	0	6	1	0
playerVirtual4	1	11.95	9	1	7	6	0	6	1	0
playerVirtual5	1	17.6	9	1	11	6	0	6	1	0
playerVirtual6	2	4.98	15	1	3	2	0	2	1	0
playerVirtual7	2	3.32	15	1	2	2	0	2	1	0
playerVirtual9	1	9.29	9	1	5	5	0	5	1	0
playerVirtual0	1	8.3	8	1	5	4	0	4	1	0
playerVirtual10	4	-5	0	1	5	0	0	99	0	1
playerVirtual11	4	-6	0	1	6	0	0	99	0	1
playerVirtual12	4	-6	0	1	6	0	0	99	0	1
playerVirtual13	4	-2.01	0	1	7	0	0	99	0	1
playerVirtual14	4	-7	0	1	7	0	0	99	0	1
playerVirtual15	4	-1.34	0	1	4	0	0	99	0	1
playerVirtual16	4	-1	0	0	1	0	0	99	0	1
playerVirtual17	4	-3	0	1	3	0	0	99	0	1
playerVirtual18	4	-3	0	0	3	0	0	99	0	1
playerVirtual19	4	-2	0	0	2	0	0	99	0	1
playerVirtual20	4	-1	0	0	1	0	0	99	0	1
playerVirtual21	4	-1	0	0	1	0	0	99	0	1
playerVirtual22	4	-2	0	0	2	0	0	99	0	1
playerVirtual23	3	0.99	0	0	2	0	0	99	1	0
playerVirtual24	3	-1	0	0	1	0	0	99	1	1
playerVirtual25	3	0	0	0	1	1	0	99	1	0
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	19.26	9	1	13	9	0	9	1	0
playerVirtual2	1	8.97	9	1	6	3	0	4	1	0
playerVirtual3	1	10.63	9	1	7	6	0	6	1	0
playerVirtual4	1	11.95	9	1	7	6	0	6	1	0
playerVirtual5	1	17.6	9	1	11	6	0	6	1	0
playerVirtual6	2	4.98	16	1	3	2	0	2	1	0
playerVirtual7	2	3.32	16	1	2	2	0	2	1	0
playerVirtual9	1	9.29	9	1	5	5	0	5	1	0
playerVirtual0	1	8.3	9	1	5	4	0	4	1	0
playerVirtual10	4	-5	0	1	5	0	0	99	0	1
playerVirtual11	4	-6	0	1	6	0	0	99	0	1
playerVirtual12	4	-6	0	1	6	0	0	99	0	1
playerVirtual13	4	-2.01	0	1	7	0	0	99	0	1
playerVirtual14	4	-7	0	1	7	0	0	99	0	1
playerVirtual15	4	-1.34	0	1	4	0	0	99	0	1
playerVirtual16	4	-1	0	0	1	0	0	99	0	1
playerVirtual17	4	-3	0	1	3	0	0	99	0	1
playerVirtual18	4	-3	0	0	3	0	0	99	0	1
playerVirtual19	4	-2	0	0	2	0	0	99	0	1
playerVirtual20	4	-1	0	0	1	0	0	99	0	1
playerVirtual21	4	-1	0	0	1	0	0	99	0	1
playerVirtual22	4	-2	0	0	2	0	0	99	0	1
playerVirtual23	3	-2	0	0	2	0	0	99	1	1
playerVirtual24	4	-1	0	0	1	0	0	99	0	1
playerVirtual25	3	1.33	1	0	1	0	0	99	1	0
playerVirtual26	3	0	0	0	1	0	0	99	1	0
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	19.26	9	1	13	8	0	9	1	0
playerVirtual2	1	8.97	9	1	6	3	0	4	1	0
playerVirtual3	1	10.63	9	1	8	6	0	6	1	0
playerVirtual4	1	11.95	9	1	7	6	0	6	1	0
playerVirtual5	1	17.6	9	1	11	6	0	6	1	0
playerVirtual6	2	4.98	17	1	3	2	0	2	1	0
playerVirtual7	2	3.32	17	1	2	2	0	2	1	0
playerVirtual9	1	9.29	9	1	5	5	0	5	1	0
playerVirtual0	1	8.3	9	1	5	4	0	4	1	0
playerVirtual10	4	-5	0	1	5	0	0	99	0	1
playerVirtual11	4	-6	0	1	6	0	0	99	0	1
playerVirtual12	4	-6	0	1	6	0	0	99	0	1
playerVirtual13	4	-2.01	0	1	7	0	0	99	0	1
playerVirtual14	4	-7	0	1	7	0	0	99	0	1
playerVirtual15	4	-1.34	0	1	4	0	0	99	0	1
playerVirtual16	4	-1	0	0	1	0	0	99	0	1
playerVirtual17	4	-3	0	1	3	0	0	99	0	1
playerVirtual18	4	-3	0	0	3	0	0	99	0	1
playerVirtual19	4	-2	0	0	2	0	0	99	0	1
playerVirtual20	4	-1	0	0	1	0	0	99	0	1
playerVirtual21	4	-1	0	0	1	0	0	99	0	1
playerVirtual22	4	-2	0	0	2	0	0	99	0	1
playerVirtual23	4	-2	0	0	2	0	0	99	0	1
playerVirtual24	4	-1	0	0	1	0	0	99	0	1
playerVirtual25	3	-1	1	0	1	0	0	99	1	1
playerVirtual26	3	-1	0	0	1	0	0	99	1	1
playerVirtual27	3	0	0	0	0	0	0	99	1	0
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	21.25	10	1	13	8	0	9	1	0
playerVirtual2	1	8.97	10	1	7	4	0	4	1	0
playerVirtual3	1	12.62	10	1	8	6	0	6	1	0
playerVirtual4	1	11.95	10	1	7	6	0	6	1	0
playerVirtual5	1	17.6	10	1	11	6	0	6	1	0
playerVirtual6	2	4.98	18	1	3	2	0	2	1	0
playerVirtual7	2	3.32	18	1	2	2	0	2	1	0
playerVirtual9	1	9.29	10	1	5	5	0	5	1	0
playerVirtual0	1	8.3	10	1	5	4	0	4	1	0
playerVirtual10	4	-5	0	1	5	0	0	99	0	1
playerVirtual11	4	-6	0	1	6	0	0	99	0	1
playerVirtual12	4	-6	0	1	6	0	0	99	0	1
playerVirtual13	4	-2.01	0	1	7	0	0	99	0	1
playerVirtual14	4	-7	0	1	7	0	0	99	0	1
playerVirtual15	4	-1.34	0	1	4	0	0	99	0	1
playerVirtual16	4	-1	0	0	1	0	0	99	0	1
playerVirtual17	4	-3	0	1	3	0	0	99	0	1
playerVirtual18	4	-3	0	0	3	0	0	99	0	1
playerVirtual19	4	-2	0	0	2	0	0	99	0	1
playerVirtual20	4	-1	0	0	1	0	0	99	0	1
playerVirtual21	4	-1	0	0	1	0	0	99	0	1
playerVirtual22	4	-2	0	0	2	0	0	99	0	1
playerVirtual23	4	-2	0	0	2	0	0	99	0	1
playerVirtual24	4	-1	0	0	1	0	0	99	0	1
playerVirtual25	3	-1	0	0	1	0	0	99	1	1
playerVirtual26	4	-1	0	0	1	0	0	99	0	1
playerVirtual27	3	0	1	0	1	0	0	99	1	0
playerVirtual28	3	0	0	0	1	0	0	99	1	0
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	21.25	10	1	13	8	0	9	1	0
playerVirtual2	1	8.97	10	1	7	4	0	4	1	0
playerVirtual3	1	12.62	10	1	8	6	0	6	1	0
playerVirtual4	1	11.95	10	1	7	6	0	6	1	0
playerVirtual5	1	17.6	10	1	11	6	0	6	1	0
playerVirtual6	2	4.98	19	1	3	2	0	2	1	0
playerVirtual7	2	3.32	19	1	2	2	0	2	1	0
playerVirtual9	1	9.29	10	1	5	5	0	5	1	0
playerVirtual0	1	8.3	10	1	5	4	0	4	1	0
playerVirtual10	4	-5	0	1	5	0	0	99	0	1
playerVirtual11	4	-6	0	1	6	0	0	99	0	1
playerVirtual12	4	-6	0	1	6	0	0	99	0	1
playerVirtual13	4	-2.01	0	1	7	0	0	99	0	1
playerVirtual14	4	-7	0	1	7	0	0	99	0	1
playerVirtual15	4	-1.34	0	1	4	0	0	99	0	1
playerVirtual16	4	-1	0	0	1	0	0	99	0	1
playerVirtual17	4	-3	0	1	3	0	0	99	0	1
playerVirtual18	4	-3	0	0	3	0	0	99	0	1
playerVirtual19	4	-2	0	0	2	0	0	99	0	1
playerVirtual20	4	-1	0	0	1	0	0	99	0	1
playerVirtual21	4	-1	0	0	1	0	0	99	0	1
playerVirtual22	4	-2	0	0	2	0	0	99	0	1
playerVirtual23	4	-2	0	0	2	0	0	99	0	1
playerVirtual24	4	-1	0	0	1	0	0	99	0	1
playerVirtual25	4	-1	0	0	1	0	0	99	0	1
playerVirtual26	4	-1	0	0	1	0	0	99	0	1
playerVirtual27	3	-1	1	0	2	0	0	99	1	1
playerVirtual28	3	-1	0	0	1	0	0	99	1	1
playerVirtual29	3	0	0	0	1	0	0	99	1	0
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	21.25	11	1	13	8	0	9	1	0
playerVirtual2	1	10.96	11	1	7	3	0	4	1	0
playerVirtual3	1	12.62	11	1	8	6	0	6	1	0
playerVirtual4	1	11.95	11	1	7	6	0	6	1	0
playerVirtual5	1	17.6	11	1	11	6	0	6	1	0
playerVirtual6	2	4.98	20	1	3	2	0	2	1	0
playerVirtual7	2	3.32	20	1	2	2	0	2	1	0
playerVirtual9	1	9.29	11	1	5	5	0	5	1	0
playerVirtual0	1	8.3	11	1	5	4	0	4	1	0
playerVirtual10	4	-5	0	1	5	0	0	99	0	1
playerVirtual11	4	-6	0	1	6	0	0	99	0	1
playerVirtual12	4	-6	0	1	6	0	0	99	0	1
playerVirtual13	4	-2.01	0	1	7	0	0	99	0	1
playerVirtual14	4	-7	0	1	7	0	0	99	0	1
playerVirtual15	4	-1.34	0	1	4	0	0	99	0	1
playerVirtual16	4	-1	0	0	1	0	0	99	0	1
playerVirtual17	4	-3	0	1	3	0	0	99	0	1
playerVirtual18	4	-3	0	0	3	0	0	99	0	1
playerVirtual19	4	-2	0	0	2	0	0	99	0	1
playerVirtual20	4	-1	0	0	1	0	0	99	0	1
playerVirtual21	4	-1	0	0	1	0	0	99	0	1
playerVirtual22	4	-2	0	0	2	0	0	99	0	1
playerVirtual23	4	-2	0	0	2	0	0	99	0	1
playerVirtual24	4	-1	0	0	1	0	0	99	0	1
playerVirtual25	4	-1	0	0	1	0	0	99	0	1
playerVirtual26	4	-1	0	0	1	0	0	99	0	1
playerVirtual27	3	-2	0	0	3	0	0	99	1	1
playerVirtual28	4	-1	0	0	1	0	0	99	0	1
playerVirtual29	3	-1	0	0	1	0	0	99	1	1
playerVirtual30	3	0	0	0	0	0	0	99	1	0
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	21.25	11	1	13	8	0	9	1	0
playerVirtual2	1	10.96	11	1	7	3	0	4	1	0
playerVirtual3	1	12.62	11	1	8	6	0	6	1	0
playerVirtual4	1	11.95	11	1	7	6	0	6	1	0
playerVirtual5	1	17.6	11	1	11	6	0	6	1	0
playerVirtual6	2	4.98	21	1	3	2	0	2	1	0
playerVirtual7	2	3.32	21	1	2	2	0	2	1	0
playerVirtual9	1	9.29	11	1	5	5	0	5	1	0
playerVirtual0	1	8.3	11	1	5	4	0	4	1	0
playerVirtual10	4	-5	0	1	5	0	0	99	0	1
playerVirtual11	4	-6	0	1	6	0	0	99	0	1
playerVirtual12	4	-6	0	1	6	0	0	99	0	1
playerVirtual13	4	-2.01	0	1	7	0	0	99	0	1
playerVirtual14	4	-7	0	1	7	0	0	99	0	1
playerVirtual15	4	-1.34	0	1	4	0	0	99	0	1
playerVirtual16	4	-1	0	0	1	0	0	99	0	1
playerVirtual17	4	-3	0	1	3	0	0	99	0	1
playerVirtual18	4	-3	0	0	3	0	0	99	0	1
playerVirtual19	4	-2	0	0	2	0	0	99	0	1
playerVirtual20	4	-1	0	0	1	0	0	99	0	1
playerVirtual21	4	-1	0	0	1	0	0	99	0	1
playerVirtual22	4	-2	0	0	2	0	0	99	0	1
playerVirtual23	4	-2	0	0	2	0	0	99	0	1
playerVirtual24	4	-1	0	0	1	0	0	99	0	1
playerVirtual25	4	-1	0	0	1	0	0	99	0	1
