ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
13 192.168.0.200 playerVirtual7_3338579772 playerVirtual7 192.168.0.200 playerVirtual9 playerVirtual9_b0ec4d2bc8 3 1 2048 20 2018-02-16 21:51:29 2018-02-16 22:12:40
14 192.168.0.200 playerVirtual9_257407216 playerVirtual9 192.168.0.200 playerVirtual7 playerVirtual7_2e26b0fb3f 1 2 4096 40 2018-02-16 21:51:29 NULL
15 192.168.0.200 playerVirtual14_182859403 playerVirtual14 192.168.0.200 playerVirtual12 playerVirtual14_182859403 0 1 512 1 2018-02-16 21:51:37 2018-02-16 21:51:37
16 192.168.0.200 playerVirtual12_2359368952 playerVirtual12 192.168.0.200 playerVirtual14 playerVirtual14_27f76c5347 2 1 512 1 2018-02-16 21:51:40 2018-02-16 22:00:15
17 192.168.0.200 playerVirtual0_16917741 playerVirtual0 192.168.0.200 playerVirtual16 playerVirtual16_ed1cf9ed3b 2 1 512 1 2018-02-16 21:51:43 2018-02-16 23:44:51
18 192.168.0.200 playerVirtual16_2545640208 playerVirtual16 192.168.0.200 playerVirtual0 playerVirtual16_2545640208 0 1 2048 20 2018-02-16 21:51:52 2018-02-16 21:51:52
19 192.168.0.200 playerVirtual18_908315 playerVirtual18 192.168.0.200 playerVirtual10 playerVirtual18_908315 0 1 2048 20 2018-02-16 21:51:54 2018-02-16 21:51:54
20 192.168.0.200 playerVirtual10_539194189 playerVirtual10 192.168.0.200 playerVirtual18 playerVirtual18_5bdd6f6e09 2 1 2048 20 2018-02-16 21:52:02 2018-02-16 22:31:34
21 192.168.0.200 playerVirtual1_4820204870 playerVirtual1 192.168.0.200 playerVirtual11 playerVirtual11_1f7997add7 3 2 4096 40 2018-02-16 21:54:40 2018-02-16 22:08:02
22 192.168.0.200 playerVirtual11_8058564 playerVirtual11 192.168.0.200 playerVirtual1 playerVirtual1_47dd39852a 1 1 2048 20 2018-02-16 21:55:30 NULL
