ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
55 192.168.0.200 playerVirtual16_5623125514 playerVirtual16 192.168.0.200 playerVirtual14 playerVirtual14_b335961f59 1 1 1 2048 20 2018-02-18 13:51:39 NULL
56 192.168.0.200 playerVirtual18_284757920 playerVirtual18 192.168.0.200 playerVirtual16 playerVirtual16_1f87a8a962 1 1 1 2048 20 2018-02-18 13:51:41 NULL
57 192.168.0.200 playerVirtual10_272887063 playerVirtual10 192.168.0.200 playerVirtual18 playerVirtual18_ad2b13ee29 3 1 1 2048 20 2018-02-18 13:51:51 2018-02-18 13:57:54
58 192.168.0.200 playerVirtual11_38676294 playerVirtual11 192.168.0.200 playerVirtual10 playerVirtual10_73936c0110 1 1 1 512 1 2018-02-18 13:55:24 NULL
59 192.168.0.200 playerVirtual8_4820204870 playerVirtual8 192.168.0.200 playerVirtual11 playerVirtual11_5a03efa249 1 1 2 4096 40 2018-02-18 13:56:43 NULL
60 192.168.0.200 playerVirtual12_6282149131 playerVirtual12 192.168.0.200 playerVirtual8 playerVirtual12_6282149131 0 1 1 512 1 2018-02-18 13:56:53 2018-02-18 13:56:53
61 192.168.0.200 playerVirtual13_6280638724 playerVirtual13 192.168.0.200 playerVirtual6 playerVirtual13_6280638724 0 1 1 512 1 2018-02-18 13:57:27 2018-02-18 13:57:27
62 192.168.0.200 playerVirtual6_6280643141 playerVirtual6 192.168.0.200 playerVirtual17 playerVirtual17_0da2be7b31 2 1 1 512 1 2018-02-18 13:57:27 2018-02-18 15:57:51
63 192.168.0.200 playerVirtual15_4476462938 playerVirtual15 192.168.0.200 playerVirtual7 playerVirtual15_4476462938 0 1 1 2048 20 2018-02-18 13:57:41 2018-02-18 13:57:41
64 192.168.0.200 playerVirtual17_272887063 playerVirtual17 192.168.0.200 playerVirtual15 playerVirtual15_abb6a5c8d8 3 1 1 2048 20 2018-02-18 13:57:49 2018-02-18 15:40:07
65 192.168.0.200 playerVirtual19_2359368952 playerVirtual19 192.168.0.200 playerVirtual9 playerVirtual19_2359368952 0 1 1 512 1 2018-02-18 13:57:52 2018-02-18 13:57:52
66 192.168.0.200 playerVirtual9_682797 playerVirtual9 192.168.0.200 playerVirtual19 playerVirtual19_f11f969d22 1 1 1 2048 20 2018-02-18 13:58:13 NULL
67 192.168.0.200 playerVirtual7_214880781 playerVirtual7 192.168.0.200 playerVirtual12 playerVirtual12_d43663a1e0 1 1 1 2048 20 2018-02-18 13:58:17 NULL
68 192.168.0.200 playerVirtual16_16914091 playerVirtual16 192.168.0.200 playerVirtual14 playerVirtual14_18f525b5d0 1 1 1 2048 20 2018-02-18 13:58:22 NULL
