ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
81 192.168.0.200 playerVirtual12_990694203 playerVirtual12 192.168.0.200 playerVirtual16 playerVirtual16_698db24465 3 1 2048 20 2018-02-13 21:44:55 2018-02-14 00:13:59
82 192.168.0.200 playerVirtual9_6301942525 playerVirtual9 192.168.0.200 playerVirtual18 playerVirtual18_eb1c26a5c1 1 1 512 1 2018-02-13 21:45:36 NULL
83 192.168.0.200 playerVirtual3_5297461910 playerVirtual3 192.168.0.200 playerVirtual13 playerVirtual13_6d74c49b5f 3 1 512 1 2018-02-13 21:46:33 2018-02-13 23:13:05
84 192.168.0.200 playerVirtual16_6274355716 playerVirtual16 192.168.0.200 playerVirtual10 playerVirtual10_3a123b031e 1 1 512 1 2018-02-13 21:49:12 NULL
85 192.168.0.200 playerVirtual11_1095593 playerVirtual11 192.168.0.200 playerVirtual4 playerVirtual11_1095593 0 1 512 1 2018-02-13 21:50:06 2018-02-13 21:50:06
86 192.168.0.200 playerVirtual4_4246147567 playerVirtual4 192.168.0.200 playerVirtual11 playerVirtual11_bc9ba3b2a2 3 2 4096 40 2018-02-13 21:50:52 2018-02-13 22:28:22
87 192.168.0.200 playerVirtual14_4246147567 playerVirtual14 192.168.0.200 playerVirtual17 playerVirtual17_4cd4576b8d 3 2 4096 40 2018-02-13 21:55:16 2018-02-14 01:17:00
88 192.168.0.200 playerVirtual17_2378747961 playerVirtual17 192.168.0.200 playerVirtual6 playerVirtual17_2378747961 0 1 512 1 2018-02-13 21:56:39 2018-02-13 21:56:39
89 192.168.0.200 playerVirtual3_6316827871 playerVirtual3 192.168.0.200 playerVirtual15 playerVirtual15_129f921761 1 1 512 1 2018-02-13 21:56:55 NULL
90 192.168.0.200 playerVirtual19_6289704471 playerVirtual19 192.168.0.200 playerVirtual3 playerVirtual19_6289704471 0 1 2048 20 2018-02-13 21:57:25 2018-02-13 21:57:25
91 192.168.0.200 playerVirtual18_6315250734 playerVirtual18 192.168.0.200 playerVirtual19 playerVirtual19_0bc3202e47 1 1 512 1 2018-02-13 22:00:20 NULL
92 192.168.0.200 playerVirtual15_4246147567 playerVirtual15 192.168.0.200 playerVirtual12 playerVirtual12_824b9e9aea 3 2 4096 40 2018-02-13 22:00:28 2018-02-14 00:39:11
93 192.168.0.200 playerVirtual16_5068098508 playerVirtual16 192.168.0.200 playerVirtual18 playerVirtual18_58ef726c82 3 1 2048 20 2018-02-13 22:01:46 2018-02-13 22:41:07
94 192.168.0.200 playerVirtual10_4246147567 playerVirtual10 192.168.0.200 playerVirtual16 playerVirtual16_44886861b4 3 2 4096 40 2018-02-13 22:03:19 2018-02-14 01:04:18
95 192.168.0.200 playerVirtual6_4246147567 playerVirtual6 192.168.0.200 playerVirtual10 playerVirtual10_f82472b4c8 3 2 4096 40 2018-02-13 22:03:37 2018-02-13 22:41:02
96 192.168.0.200 playerVirtual13_4246147567 playerVirtual13 192.168.0.200 playerVirtual14 playerVirtual14_2ed8d841b3 3 2 4096 40 2018-02-13 22:06:13 2018-02-13 22:34:22
97 192.168.0.200 playerVirtual19_4246147567 playerVirtual19 192.168.0.200 playerVirtual4 playerVirtual19_4246147567 0 2 4096 40 2018-02-13 22:07:18 2018-02-13 22:07:18
98 192.168.0.200 playerVirtual12_4246147567 playerVirtual12 192.168.0.200 playerVirtual13 playerVirtual13_854cc7f3c0 3 2 4096 40 2018-02-13 22:07:56 2018-02-13 23:37:50
99 192.168.0.200 playerVirtual18_4246147567 playerVirtual18 192.168.0.200 playerVirtual11 playerVirtual11_0aebb8677b 3 2 4096 40 2018-02-13 22:10:57 2018-02-14 00:23:47
100 192.168.0.200 playerVirtual17_4246147567 playerVirtual17 192.168.0.200 playerVirtual6 playerVirtual17_4246147567 3 2 4096 40 2018-02-13 22:12:02 2018-02-14 01:14:55
101 192.168.0.200 playerVirtual3_359920779 playerVirtual3 192.168.0.200 playerVirtual15 playerVirtual15_1fbbeb894d 1 1 512 1 2018-02-13 22:12:15 NULL
102 192.168.0.200 playerVirtual11_6322213339 playerVirtual11 192.168.0.200 playerVirtual3 playerVirtual11_6322213339 0 1 512 1 2018-02-13 22:14:35 2018-02-13 22:14:35
103 192.168.0.200 playerVirtual16_4246147567 playerVirtual16 192.168.0.200 playerVirtual19 playerVirtual19_9d2dc03ce6 3 2 4096 40 2018-02-13 22:15:26 2018-02-13 22:28:01
104 192.168.0.200 playerVirtual4_4246147567 playerVirtual4 192.168.0.200 playerVirtual18 playerVirtual18_5f4635ba10 3 2 4096 40 2018-02-13 22:16:20 2018-02-13 22:28:22
105 192.168.0.200 playerVirtual14_4246147567 playerVirtual14 192.168.0.200 playerVirtual17 playerVirtual17_3d1aeb00e5 3 2 4096 40 2018-02-13 22:21:21 2018-02-14 01:17:00
106 192.168.0.200 playerVirtual3_6335261139 playerVirtual3 192.168.0.200 playerVirtual16 playerVirtual16_db7cb242df 1 1 512 1 2018-02-13 22:24:38 NULL
