ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
50 192.168.0.200 playerVirtual17_5068098508 playerVirtual17 192.168.0.200 playerVirtual15 playerVirtual15_663f4b30cf 3 1 2048 20 2018-02-12 13:08:29 2018-02-12 13:41:33
51 192.168.0.200 playerVirtual19_227443932 playerVirtual19 192.168.0.200 playerVirtual5 playerVirtual5_1c7ae4fee7 1 1 2048 20 2018-02-12 13:09:47 NULL
52 192.168.0.200 playerVirtual5_1095593 playerVirtual5 192.168.0.200 playerVirtual19 playerVirtual19_219968ec05 3 1 512 1 2018-02-12 13:09:47 2018-02-12 13:30:59
53 192.168.0.200 playerVirtual9_2148750930 playerVirtual9 192.168.0.200 playerVirtual7 playerVirtual7_edf380db61 3 1 2048 20 2018-02-12 13:09:49 2018-02-12 16:07:03
54 192.168.0.200 playerVirtual7_563574327 playerVirtual7 192.168.0.200 playerVirtual9 playerVirtual9_6e94fda654 1 1 2048 20 2018-02-12 13:09:53 NULL
55 192.168.0.200 playerVirtual14_765651 playerVirtual14 192.168.0.200 playerVirtual12 playerVirtual12_d0c3c94af2 1 1 2048 20 2018-02-12 13:10:03 NULL
56 192.168.0.200 playerVirtual16_5623125514 playerVirtual16 192.168.0.200 playerVirtual14 playerVirtual14_3af76ffbb2 1 1 2048 20 2018-02-12 13:10:25 NULL
57 192.168.0.200 playerVirtual18_284757920 playerVirtual18 192.168.0.200 playerVirtual16 playerVirtual16_eac2d621ae 1 1 2048 20 2018-02-12 13:10:26 NULL
58 192.168.0.200 playerVirtual10_272887063 playerVirtual10 192.168.0.200 playerVirtual18 playerVirtual18_343ec6d30f 3 1 2048 20 2018-02-12 13:10:37 2018-02-12 13:16:41
59 192.168.0.200 playerVirtual11_38676294 playerVirtual11 192.168.0.200 playerVirtual10 playerVirtual10_bd24a50e36 1 1 512 1 2018-02-12 13:14:10 NULL
60 192.168.0.200 playerVirtual4_182859403 playerVirtual4 192.168.0.200 playerVirtual11 playerVirtual11_b6e8afab80 3 1 512 1 2018-02-12 13:15:13 2018-02-12 13:18:10
61 192.168.0.200 playerVirtual8_4820204870 playerVirtual8 192.168.0.200 playerVirtual4 playerVirtual4_ccb8d780d7 1 2 4096 40 2018-02-12 13:15:29 NULL
62 192.168.0.200 playerVirtual12_6282149131 playerVirtual12 192.168.0.200 playerVirtual8 playerVirtual8_7d9e277dac 1 1 512 1 2018-02-12 13:15:40 NULL
63 192.168.0.200 playerVirtual2_990694203 playerVirtual2 192.168.0.200 playerVirtual17 playerVirtual17_4abee38dfb 3 1 2048 20 2018-02-12 13:15:51 2018-02-12 13:18:33
