2017-01-31_20:12:18;33;42;12
2017-01-31_20:15:40;34;42;12
2017-01-31_20:15:41;34;43;12
2017-01-31_20:16:40;34;44;12
2017-01-31_20:20:08;35;44;12
2017-01-31_20:20:31;36;44;12
2017-01-31_20:22:53;37;44;12
2017-01-31_20:24:05;37;45;12
2017-01-31_20:24:42;38;45;12
2017-01-31_20:25:17;38;46;12
2017-01-31_20:27:58;39;46;12
2017-01-31_20:29:04;40;46;12
2017-01-31_20:30:04;41;46;12
2017-01-31_20:32:45;41;47;12
2017-01-31_20:33:46;42;47;12
2017-01-31_20:34:58;42;48;12
2017-01-31_20:36:55;42;49;12
2017-01-31_20:42:00;42;49;13
2017-01-31_20:44:31;42;50;13
2017-01-31_20:44:59;42;50;14
2017-01-31_20:45:00;42;50;15
2017-01-31_20:48:50;42;50;16
2017-01-31_20:49:30;43;50;16
2017-01-31_20:50:45;43;50;17
2017-01-31_20:51:28;43;50;17
2017-01-31_20:53:18;43;50;18
2017-01-31_20:56:42;44;50;18
2017-01-31_20:59:32;44;51;18
2017-01-31_21:01:04;44;51;19
2017-01-31_21:03:23;44;52;19
2017-01-31_21:03:25;44;52;20
2017-01-31_21:07:24;44;52;21
2017-01-31_21:08:05;44;52;21
2017-01-31_21:09:50;44;52;22
2017-01-31_21:10:41;44;52;23
2017-01-31_21:13:04;44;52;24
2017-01-31_21:13:13;45;52;24
2017-01-31_21:15:44;46;52;24
2017-01-31_21:21:34;46;52;25
2017-01-31_21:22:43;46;52;26
2017-01-31_21:23:45;47;52;26
2017-01-31_21:26:10;47;52;27
2017-01-31_21:27:16;47;52;28
2017-01-31_21:30:45;47;52;29
2017-01-31_21:33:09;47;52;30
2017-01-31_21:36:33;47;52;31
2017-01-31_21:39:35;47;52;32
2017-01-31_21:43:43;48;52;32
2017-01-31_21:45:58;48;52;33
2017-01-31_21:46:40;48;52;33
2017-01-31_21:47:17;48;52;34
2017-01-31_21:49:54;48;52;34
2017-01-31_21:52:22;48;52;35
