2017-02-07 15:26:14,001 MCT_Dispatch INFO     MSG SENT TO REFEREE {u'status': 0, u'code': 0, u'playerId': u'playerVirtual8', u'retId': u'', u'reqId': u'playerVirtual8_6fa8912733', u'origAddr': u'10.3.77.162', u'destAddr': u'', u'data': {}, u'destName': u''} appid virtual_players
2017-02-07 15:26:14,009 MCT_Dispatch INFO     MESSAGE PENDING playerVirtual8_6fa8912733
2017-02-07 15:26:14,189 MCT_Dispatch INFO     INSPECT REQUEST!
2017-02-07 15:26:14,189 MCT_Dispatch INFO     FIELDS ARE OK...
2017-02-07 15:26:14,189 MCT_Dispatch INFO     MESSAGE RETURNED OF REFEREE: {u'status': 0, u'code': 0, u'playerId': u'playerVirtual8', u'retId': u'', u'reqId': u'playerVirtual8_6fa8912733', u'origAddr': u'10.3.77.162', u'destAddr': u'', u'data': {u'disk_mb': 90000, u'vcpu_used': 473, u'vcpu': 90000, u'memory_mb_used': 832000, u'memory_mb': 90000, u'disk_mb_used': 7769}, u'destName': u''}
2017-02-07 15:26:14,357 MCT_Dispatch INFO     MESSAGE playerVirtual8_6fa8912733 REMOVED FROM PENDING!
2017-02-07 15:26:19,394 MCT_Dispatch INFO     INSPECT REQUEST!
2017-02-07 15:26:19,394 MCT_Dispatch INFO     FIELDS ARE OK...
2017-02-07 15:26:19,394 MCT_Dispatch INFO     MSG SENT TO REFEREE {u'status': 0, u'code': 8, u'playerId': u'playerVirtual1', u'retId': u'', u'reqId': u'playerVirtual1_e91df6d2d7', u'origAddr': u'10.3.77.162', u'destAddr': u'', u'data': {u'vcpus': 10000, u'disk': 10000, u'memory': 10000}, u'destName': u''} appid virtual_players
2017-02-07 15:26:19,402 MCT_Dispatch INFO     MESSAGE PENDING playerVirtual1_e91df6d2d7
2017-02-07 15:26:19,688 MCT_Dispatch INFO     INSPECT REQUEST!
2017-02-07 15:26:19,688 MCT_Dispatch INFO     FIELDS ARE OK...
2017-02-07 15:26:19,689 MCT_Dispatch INFO     MESSAGE RETURNED OF REFEREE: {u'status': 0, u'code': 8, u'playerId': u'playerVirtual1', u'retId': u'', u'reqId': u'playerVirtual1_e91df6d2d7', u'origAddr': u'10.3.77.162', u'destAddr': u'', u'data': {}, u'destName': u''}
2017-02-07 15:26:19,812 MCT_Dispatch INFO     MESSAGE playerVirtual1_e91df6d2d7 REMOVED FROM PENDING!
2017-02-07 15:26:21,285 MCT_Dispatch INFO     INSPECT REQUEST!
2017-02-07 15:26:21,285 MCT_Dispatch INFO     FIELDS ARE OK...
2017-02-07 15:26:21,285 MCT_Dispatch INFO     MSG SENT TO REFEREE {u'status': 0, u'code': 0, u'playerId': u'playerVirtual9', u'retId': u'', u'reqId': u'playerVirtual9_43188df566', u'origAddr': u'10.3.77.162', u'destAddr': u'', u'data': {}, u'destName': u''} appid virtual_players
2017-02-07 15:26:21,293 MCT_Dispatch INFO     MESSAGE PENDING playerVirtual9_43188df566
2017-02-07 15:26:21,475 MCT_Dispatch INFO     INSPECT REQUEST!
