name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual0	1	8.3	3	1	5	4	0	4	1	0
playerVirtual10	4	-4	0	0.333333	0	0	4	99	0	1
playerVirtual11	4	-6	0	0	0	0	6	99	0	1
playerVirtual12	4	-7	0	0	0	0	7	99	0	1
playerVirtual13	3	-3	0	0	0	0	3	99	1	1
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	11.62	3	0.5	8	8	0	9	1	0
playerVirtual2	1	6.64	3	1	4	4	0	4	1	0
playerVirtual3	1	8.64	3	1	6	6	0	6	1	0
playerVirtual4	1	11.29	3	0.833333	7	6	0	6	1	0
playerVirtual5	1	9.3	3	0.666667	8	6	0	6	1	0
playerVirtual6	2	3.32	5	0.428571	2	2	0	2	1	0
playerVirtual7	2	3.65	5	0.5	2	2	0	2	1	0
playerVirtual8	3	-0.01	0	0.125	1	1	2	1	1	1
playerVirtual9	1	8.63	3	1	5	5	0	5	1	0
playerVirtual0	1	8.3	3	1	6	4	0	4	1	0
playerVirtual10	4	-4	0	0.333333	0	0	4	99	0	1
playerVirtual11	4	-6	0	0	0	0	6	99	0	1
playerVirtual12	4	-7	0	0	0	0	7	99	0	1
playerVirtual13	4	-5	0	0	0	0	5	99	0	1
playerVirtual14	3	-3	0	0	0	0	3	99	1	1
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	14.61	4	0.571429	9	9	0	9	1	0
playerVirtual2	1	6.64	4	1	4	3	0	4	1	0
playerVirtual3	1	8.64	4	0.875	6	6	0	6	1	0
playerVirtual4	1	12.95	4	0.857143	8	6	0	6	1	0
playerVirtual5	1	11.96	4	0.625	8	6	0	6	1	0
playerVirtual6	2	3.32	6	0.428571	2	2	0	2	1	0
playerVirtual7	2	3.65	6	0.428571	2	2	0	2	1	0
playerVirtual8	4	-0.01	0	0.125	1	1	2	1	0	1
playerVirtual9	1	9.96	4	1	6	5	0	5	1	0
playerVirtual0	1	9.96	4	1	6	4	0	4	1	0
playerVirtual10	4	-4	0	0.333333	0	0	4	99	0	1
playerVirtual11	4	-6	0	0	0	0	6	99	0	1
playerVirtual12	4	-7	0	0	0	0	7	99	0	1
playerVirtual13	4	-5	0	0	0	0	5	99	0	1
playerVirtual14	4	-4	0	0	0	0	4	99	0	1
playerVirtual15	3	-1	0	0	0	0	1	99	1	1
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	14.61	4	0.571429	9	8	0	9	1	0
playerVirtual2	1	6.64	4	1	5	3	0	4	1	0
playerVirtual3	1	8.64	4	0.875	6	6	0	6	1	0
playerVirtual4	1	12.95	4	0.857143	8	6	0	6	1	0
playerVirtual5	1	11.96	4	0.625	8	6	0	6	1	0
playerVirtual6	2	3.32	7	0.375	2	2	0	2	1	0
playerVirtual7	2	3.65	7	0.375	2	2	0	2	1	0
playerVirtual8	4	-0.01	0	0.125	1	1	2	1	0	1
playerVirtual9	1	9.96	4	1	6	5	0	5	1	0
playerVirtual0	1	9.96	4	1	6	4	0	4	1	0
playerVirtual10	4	-4	0	0.333333	0	0	4	99	0	1
playerVirtual11	4	-6	0	0	0	0	6	99	0	1
playerVirtual12	4	-7	0	0	0	0	7	99	0	1
playerVirtual13	4	-5	0	0	0	0	5	99	0	1
playerVirtual14	4	-4	0	0	0	0	4	99	0	1
playerVirtual15	4	-2	0	0	0	0	2	99	0	1
playerVirtual16	3	-1	0	0	0	0	1	99	1	1
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	15.94	5	0.571429	10	9	0	9	1	0
playerVirtual2	1	7.97	5	1	5	3	0	4	1	0
playerVirtual3	1	8.64	5	0.888889	6	6	0	6	1	0
playerVirtual4	1	12.95	5	0.857143	8	6	0	6	1	0
playerVirtual5	1	11.96	5	0.625	8	6	0	6	1	0
playerVirtual6	2	3.32	8	0.375	2	2	0	2	1	0
playerVirtual7	2	3.65	8	0.375	2	2	0	2	1	0
playerVirtual8	4	-0.01	0	0.125	1	1	2	1	0	1
playerVirtual9	1	9.96	5	0.875	6	3	0	5	1	0
playerVirtual0	1	9.96	5	0.888889	6	4	0	4	1	0
playerVirtual10	4	-4	0	0.333333	0	0	4	99	0	1
playerVirtual11	4	-6	0	0	0	0	6	99	0	1
playerVirtual12	4	-7	0	0	0	0	7	99	0	1
playerVirtual13	4	-5	0	0	0	0	5	99	0	1
playerVirtual14	4	-4	0	0	0	0	4	99	0	1
playerVirtual15	4	-2	0	0	0	0	2	99	0	1
playerVirtual16	4	-2	0	0	0	0	2	99	0	1
playerVirtual17	3	-1	0	0	0	0	1	99	1	1
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	15.94	5	0.571429	10	8	0	9	1	0
playerVirtual2	1	7.97	5	1	5	3	0	4	1	0
playerVirtual3	1	8.64	5	0.888889	6	5	0	6	1	0
playerVirtual4	1	12.95	5	0.857143	8	6	0	6	1	0
playerVirtual5	1	11.96	5	0.625	8	6	0	6	1	0
playerVirtual6	2	3.32	9	0.333333	2	2	0	2	1	0
playerVirtual7	2	3.65	9	0.375	2	2	0	2	1	0
playerVirtual8	4	-0.01	0	0.125	1	1	2	1	0	1
playerVirtual9	1	9.96	5	0.875	7	3	0	5	1	0
playerVirtual0	1	9.96	5	0.888889	6	4	0	4	1	0
playerVirtual10	4	-4	0	0.333333	0	0	4	99	0	1
playerVirtual11	4	-6	0	0	0	0	6	99	0	1
playerVirtual12	4	-7	0	0	0	0	7	99	0	1
playerVirtual13	4	-5	0	0	0	0	5	99	0	1
playerVirtual14	4	-4	0	0	0	0	4	99	0	1
playerVirtual15	4	-2	0	0	0	0	2	99	0	1
playerVirtual16	4	-2	0	0	0	0	2	99	0	1
playerVirtual17	4	-2	0	0	0	0	2	99	0	1
playerVirtual18	3	-1	0	0	0	0	1	99	1	1
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	15.94	6	0.5	10	8	0	9	1	0
playerVirtual2	1	7.97	6	1	5	3	0	4	1	0
playerVirtual3	1	8.64	6	0.9	6	5	0	6	1	0
playerVirtual4	1	12.95	6	0.857143	8	6	0	6	1	0
playerVirtual5	1	11.96	6	0.625	8	5	0	6	1	0
playerVirtual6	2	3.32	10	0.333333	2	2	0	2	1	0
playerVirtual7	2	3.65	10	0.375	2	2	0	2	1	0
playerVirtual8	4	-0.01	0	0.125	1	1	2	1	0	1
playerVirtual9	1	11.29	6	0.875	7	3	0	5	1	0
playerVirtual0	1	9.96	6	0.888889	6	4	0	4	1	0
playerVirtual10	4	-4	0	0.333333	0	0	4	99	0	1
playerVirtual11	4	-6	0	0	0	0	6	99	0	1
playerVirtual12	4	-7	0	0	0	0	7	99	0	1
playerVirtual13	4	-5	0	0	0	0	5	99	0	1
playerVirtual14	4	-4	0	0	0	0	4	99	0	1
playerVirtual15	4	-2	0	0	0	0	2	99	0	1
playerVirtual16	4	-2	0	0	0	0	2	99	0	1
playerVirtual17	4	-2	0	0	0	0	2	99	0	1
playerVirtual18	4	-1	0	0	0	0	1	99	0	1
playerVirtual19	3	0	1	0	0	0	0	99	1	0
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	15.94	6	0.5	10	7	0	9	1	0
playerVirtual2	1	7.97	6	1	6	4	0	4	1	0
playerVirtual3	1	8.64	6	0.9	7	6	0	6	1	0
playerVirtual4	1	12.95	6	0.857143	8	6	0	6	1	0
playerVirtual5	1	11.96	6	0.625	9	6	0	6	1	0
playerVirtual6	2	3.32	11	0.333333	2	2	0	2	1	0
playerVirtual7	2	3.65	11	0.333333	2	2	0	2	1	0
playerVirtual8	4	-0.01	0	0.125	1	1	2	1	0	1
playerVirtual9	1	11.29	6	0.875	7	2	0	5	1	0
playerVirtual0	1	9.96	6	0.888889	6	4	0	4	1	0
playerVirtual10	4	-4	0	0.333333	0	0	4	99	0	1
playerVirtual11	4	-6	0	0	0	0	6	99	0	1
playerVirtual12	4	-7	0	0	0	0	7	99	0	1
playerVirtual13	4	-5	0	0	0	0	5	99	0	1
playerVirtual14	4	-4	0	0	0	0	4	99	0	1
playerVirtual15	4	-2	0	0	0	0	2	99	0	1
playerVirtual16	4	-2	0	0	0	0	2	99	0	1
playerVirtual17	4	-2	0	0	0	0	2	99	0	1
playerVirtual18	4	-1	0	0	0	0	1	99	0	1
playerVirtual19	3	-1	1	0	0	0	1	99	1	1
playerVirtual20	3	-1	0	0	0	0	1	99	1	1
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	15.94	7	0.5	10	7	0	9	1	0
playerVirtual2	1	9.96	7	1	6	3	0	4	1	0
playerVirtual3	1	10.3	7	0.909091	7	6	0	6	1	0
playerVirtual4	1	12.95	7	0.875	8	6	0	6	1	0
playerVirtual5	1	13.29	7	0.555556	9	6	0	6	1	0
playerVirtual6	2	3.32	12	0.333333	2	2	0	2	1	0
playerVirtual7	2	3.65	12	0.333333	2	2	0	2	1	0
playerVirtual8	4	-0.01	0	0.125	1	1	2	1	0	1
playerVirtual9	1	11.29	7	0.888889	7	2	0	5	1	0
playerVirtual0	1	9.96	7	0.888889	6	4	0	4	1	0
playerVirtual10	4	-4	0	0.333333	0	0	4	99	0	1
playerVirtual11	4	-6	0	0	0	0	6	99	0	1
playerVirtual12	4	-7	0	0	0	0	7	99	0	1
playerVirtual13	4	-5	0	0	0	0	5	99	0	1
playerVirtual14	4	-4	0	0	0	0	4	99	0	1
playerVirtual15	4	-2	0	0	0	0	2	99	0	1
playerVirtual16	4	-2	0	0	0	0	2	99	0	1
playerVirtual17	4	-2	0	0	0	0	2	99	0	1
playerVirtual18	4	-1	0	0	0	0	1	99	0	1
playerVirtual19	3	-1	0	0	0	0	1	99	1	1
playerVirtual20	4	-1	0	0	0	0	1	99	0	1
playerVirtual21	3	0	1	0	0	0	0	99	1	0
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	15.94	7	0.5	11	8	0	9	1	0
playerVirtual2	1	9.96	7	1	7	3	0	4	1	0
playerVirtual3	1	10.3	7	0.909091	7	6	0	6	1	0
playerVirtual4	1	12.95	7	0.875	8	6	0	6	1	0
playerVirtual5	1	13.29	7	0.555556	9	6	0	6	1	0
playerVirtual6	2	3.32	13	0.3	2	2	0	2	1	0
playerVirtual7	2	3.65	13	0.333333	2	2	0	2	1	0
playerVirtual8	4	-0.01	0	0.125	1	1	2	1	0	1
playerVirtual9	1	11.29	7	0.888889	8	3	0	5	1	0
playerVirtual0	1	9.96	7	0.888889	6	4	0	4	1	0
playerVirtual10	4	-4	0	0.333333	0	0	4	99	0	1
playerVirtual11	4	-6	0	0	0	0	6	99	0	1
playerVirtual12	4	-7	0	0	0	0	7	99	0	1
playerVirtual13	4	-5	0	0	0	0	5	99	0	1
playerVirtual14	4	-4	0	0	0	0	4	99	0	1
playerVirtual15	4	-2	0	0	0	0	2	99	0	1
playerVirtual16	4	-2	0	0	0	0	2	99	0	1
playerVirtual17	4	-2	0	0	0	0	2	99	0	1
playerVirtual18	4	-1	0	0	0	0	1	99	0	1
playerVirtual19	4	-2	0	0	0	0	2	99	0	1
playerVirtual20	4	-1	0	0	0	0	1	99	0	1
playerVirtual21	3	-1	1	0	0	0	1	99	1	1
playerVirtual22	3	-1	0	0	0	0	1	99	1	1
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	17.93	8	0.555556	11	8	0	9	1	0
playerVirtual2	1	11.29	8	0.888889	7	3	0	4	1	0
playerVirtual3	1	10.3	8	0.909091	7	6	0	6	1	0
playerVirtual4	1	12.95	8	0.777778	8	6	0	6	1	0
playerVirtual5	1	13.29	8	0.5	9	6	0	6	1	0
playerVirtual6	2	3.32	14	0.3	2	2	0	2	1	0
playerVirtual7	2	3.65	14	0.333333	2	2	0	2	1	0
playerVirtual8	4	-0.01	0	0.125	1	1	2	1	0	1
playerVirtual9	1	13.28	8	0.9	8	2	0	5	1	0
playerVirtual0	1	9.96	8	0.9	6	4	0	4	1	0
playerVirtual10	4	-4	0	0.333333	0	0	4	99	0	1
playerVirtual11	4	-6	0	0	0	0	6	99	0	1
playerVirtual12	4	-7	0	0	0	0	7	99	0	1
playerVirtual13	4	-5	0	0	0	0	5	99	0	1
playerVirtual14	4	-4	0	0	0	0	4	99	0	1
playerVirtual15	4	-2	0	0	0	0	2	99	0	1
playerVirtual16	4	-2	0	0	0	0	2	99	0	1
playerVirtual17	4	-2	0	0	0	0	2	99	0	1
playerVirtual18	4	-1	0	0	0	0	1	99	0	1
playerVirtual19	4	-2	0	0	0	0	2	99	0	1
playerVirtual20	4	-1	0	0	0	0	1	99	0	1
playerVirtual21	3	-1	1	0	0	0	2	99	1	1
playerVirtual22	3	-1	0	0	0	0	1	99	1	1
playerVirtual23	3	0	0	0	0	0	0	99	1	0
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	17.93	8	0.555556	11	8	0	9	1	0
playerVirtual2	1	11.29	8	0.888889	7	3	0	4	1	0
playerVirtual3	1	10.3	8	0.909091	7	6	0	6	1	0
playerVirtual4	1	12.95	8	0.777778	8	6	0	6	1	0
playerVirtual5	1	13.29	8	0.5	9	6	0	6	1	0
playerVirtual6	2	3.32	15	0.3	2	2	0	2	1	0
playerVirtual7	2	3.65	15	0.3	2	2	0	2	1	0
playerVirtual8	4	-0.01	0	0.125	1	1	2	1	0	1
playerVirtual9	1	13.28	8	0.9	8	2	0	5	1	0
playerVirtual0	1	9.96	8	0.9	6	4	0	4	1	0
playerVirtual10	4	-4	0	0.333333	0	0	4	99	0	1
playerVirtual11	4	-6	0	0	0	0	6	99	0	1
playerVirtual12	4	-7	0	0	0	0	7	99	0	1
playerVirtual13	4	-5	0	0	0	0	5	99	0	1
playerVirtual14	4	-4	0	0	0	0	4	99	0	1
playerVirtual15	4	-2	0	0	0	0	2	99	0	1
playerVirtual16	4	-2	0	0	0	0	2	99	0	1
playerVirtual17	4	-2	0	0	0	0	2	99	0	1
playerVirtual18	4	-1	0	0	0	0	1	99	0	1
playerVirtual19	4	-2	0	0	0	0	2	99	0	1
playerVirtual20	4	-1	0	0	0	0	1	99	0	1
playerVirtual21	3	-2	0	0	0	0	2	99	1	1
playerVirtual22	4	-1	0	0	0	0	1	99	0	1
playerVirtual23	3	0	1	0	0	0	1	99	1	0
playerVirtual24	3	0	0	0	0	0	0	99	1	0
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	17.93	9	0.555556	11	7	0	9	1	0
playerVirtual2	1	11.29	9	0.888889	7	3	0	4	1	0
playerVirtual3	1	10.3	9	0.916667	7	6	0	6	1	0
playerVirtual4	1	12.95	9	0.7	8	6	0	6	1	0
playerVirtual5	1	13.29	9	0.5	9	6	0	6	1	0
playerVirtual6	2	3.32	16	0.3	2	2	0	2	1	0
playerVirtual7	2	3.65	16	0.3	2	2	0	2	1	0
playerVirtual8	4	-0.01	0	0.125	1	1	2	1	0	1
playerVirtual9	1	15.27	9	0.9	9	3	0	5	1	0
playerVirtual0	1	9.96	9	0.818182	6	4	0	4	1	0
playerVirtual10	4	-4	0	0.333333	0	0	4	99	0	1
playerVirtual11	4	-6	0	0	0	0	6	99	0	1
playerVirtual12	4	-7	0	0	0	0	7	99	0	1
playerVirtual13	4	-5	0	0	0	0	5	99	0	1
playerVirtual14	4	-4	0	0	0	0	4	99	0	1
playerVirtual15	4	-2	0	0	0	0	2	99	0	1
playerVirtual16	4	-2	0	0	0	0	2	99	0	1
playerVirtual17	4	-2	0	0	0	0	2	99	0	1
playerVirtual18	4	-1	0	0	0	0	1	99	0	1
playerVirtual19	4	-2	0	0	0	0	2	99	0	1
playerVirtual20	4	-1	0	0	0	0	1	99	0	1
playerVirtual21	4	-2	0	0	0	0	2	99	0	1
playerVirtual22	4	-1	0	0	0	0	1	99	0	1
playerVirtual23	3	-1	1	0	0	0	1	99	1	1
playerVirtual24	3	0	1	0	0	0	1	99	1	0
playerVirtual25	3	0	0	0	0	0	1	99	1	0
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	17.93	9	0.555556	11	7	0	9	1	0
playerVirtual2	1	11.29	9	0.888889	7	3	0	4	1	0
playerVirtual3	1	10.3	9	0.916667	7	6	0	6	1	0
playerVirtual4	1	12.95	9	0.7	8	6	0	6	1	0
playerVirtual5	1	13.29	9	0.5	9	6	0	6	1	0
playerVirtual6	2	3.32	17	0.3	2	2	0	2	1	0
playerVirtual7	2	3.65	17	0.272727	2	2	0	2	1	0
playerVirtual8	4	-0.01	0	0.125	1	1	2	1	0	1
playerVirtual9	1	15.27	9	0.9	9	3	0	5	1	0
playerVirtual0	1	9.96	9	0.818182	6	4	0	4	1	0
playerVirtual10	4	-4	0	0.333333	0	0	4	99	0	1
playerVirtual11	4	-6	0	0	0	0	6	99	0	1
playerVirtual12	4	-7	0	0	0	0	7	99	0	1
playerVirtual13	4	-5	0	0	0	0	5	99	0	1
playerVirtual14	4	-4	0	0	0	0	4	99	0	1
playerVirtual15	4	-2	0	0	0	0	2	99	0	1
playerVirtual16	4	-2	0	0	0	0	2	99	0	1
playerVirtual17	4	-2	0	0	0	0	2	99	0	1
playerVirtual18	4	-1	0	0	0	0	1	99	0	1
playerVirtual19	4	-2	0	0	0	0	2	99	0	1
playerVirtual20	4	-1	0	0	0	0	1	99	0	1
playerVirtual21	4	-2	0	0	0	0	2	99	0	1
playerVirtual22	4	-1	0	0	0	0	1	99	0	1
playerVirtual23	3	-1	0	0	0	0	2	99	1	1
playerVirtual24	3	-1	1	0	0	0	1	99	1	1
playerVirtual25	3	-1	0	0	0	0	1	99	1	1
playerVirtual26	3	0	0	0	0	0	0	99	1	0
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	19.92	10	0.5	12	8	0	9	1	0
playerVirtual2	1	11.29	10	0.9	7	3	0	4	1	0
playerVirtual3	1	10.3	10	0.916667	7	6	0	6	1	0
playerVirtual4	1	12.95	10	0.7	8	6	0	6	1	0
playerVirtual5	1	13.29	10	0.545455	9	6	0	6	1	0
playerVirtual6	2	3.32	18	0.272727	2	2	0	2	1	0
playerVirtual7	2	3.65	18	0.272727	2	2	0	2	1	0
playerVirtual8	4	-0.01	0	0.125	1	1	2	1	0	1
playerVirtual9	1	16.6	10	0.818182	10	3	0	5	1	0
playerVirtual0	1	9.96	10	0.818182	6	4	0	4	1	0
playerVirtual10	4	-4	0	0.333333	0	0	4	99	0	1
playerVirtual11	4	-6	0	0	0	0	6	99	0	1
playerVirtual12	4	-7	0	0	0	0	7	99	0	1
playerVirtual13	4	-5	0	0	0	0	5	99	0	1
playerVirtual14	4	-4	0	0	0	0	4	99	0	1
playerVirtual15	4	-2	0	0	0	0	2	99	0	1
playerVirtual16	4	-2	0	0	0	0	2	99	0	1
playerVirtual17	4	-2	0	0	0	0	2	99	0	1
playerVirtual18	4	-1	0	0	0	0	1	99	0	1
playerVirtual19	4	-2	0	0	0	0	2	99	0	1
playerVirtual20	4	-1	0	0	0	0	1	99	0	1
playerVirtual21	4	-2	0	0	0	0	2	99	0	1
playerVirtual22	4	-1	0	0	0	0	1	99	0	1
playerVirtual23	4	-2	0	0	0	0	2	99	0	1
playerVirtual24	3	-1	0	0	0	0	2	99	1	1
playerVirtual25	4	-1	0	0	0	0	1	99	0	1
playerVirtual26	3	0	1	0	0	0	1	99	1	0
playerVirtual27	3	0	0	0	0	0	1	99	1	0
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	19.92	10	0.5	12	8	0	9	1	0
playerVirtual2	1	11.29	10	0.9	7	3	0	4	1	0
playerVirtual3	1	10.3	10	0.916667	7	6	0	6	1	0
playerVirtual4	1	12.95	10	0.7	8	6	0	6	1	0
playerVirtual5	1	13.29	10	0.545455	9	6	0	6	1	0
playerVirtual6	2	3.32	19	0.272727	2	2	0	2	1	0
playerVirtual7	2	3.65	19	0.272727	2	2	0	2	1	0
playerVirtual8	4	-0.01	0	0.125	1	1	2	1	0	1
playerVirtual9	1	16.6	10	0.818182	10	3	0	5	1	0
playerVirtual0	1	9.96	10	0.818182	6	4	0	4	1	0
playerVirtual10	4	-4	0	0.333333	0	0	4	99	0	1
playerVirtual11	4	-6	0	0	0	0	6	99	0	1
playerVirtual12	4	-7	0	0	0	0	7	99	0	1
playerVirtual13	4	-5	0	0	0	0	5	99	0	1
playerVirtual14	4	-4	0	0	0	0	4	99	0	1
playerVirtual15	4	-2	0	0	0	0	2	99	0	1
playerVirtual16	4	-2	0	0	0	0	2	99	0	1
playerVirtual17	4	-2	0	0	0	0	2	99	0	1
playerVirtual18	4	-1	0	0	0	0	1	99	0	1
playerVirtual19	4	-2	0	0	0	0	2	99	0	1
playerVirtual20	4	-1	0	0	0	0	1	99	0	1
playerVirtual21	4	-2	0	0	0	0	2	99	0	1
playerVirtual22	4	-1	0	0	0	0	1	99	0	1
playerVirtual23	4	-2	0	0	0	0	2	99	0	1
playerVirtual24	4	-2	0	0	0	0	2	99	0	1
playerVirtual25	4	-1	0	0	0	0	1	99	0	1
playerVirtual26	3	-1	1	0	0	0	1	99	1	1
playerVirtual27	3	-1	0	0	0	0	1	99	1	1
playerVirtual28	3	0	0	0	0	0	0	99	1	0
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	19.92	10	0.5	12	8	0	9	1	0
playerVirtual2	1	11.29	10	0.9	8	4	0	4	1	0
playerVirtual3	1	10.3	10	0.916667	7	6	0	6	1	0
playerVirtual4	1	12.95	10	0.7	8	6	0	6	1	0
playerVirtual5	1	13.29	10	0.545455	9	6	0	6	1	0
playerVirtual6	2	3.32	19	0.272727	2	2	0	2	1	0
playerVirtual7	2	3.65	19	0.272727	2	2	0	2	1	0
playerVirtual8	4	-0.01	0	0.125	1	1	2	1	0	1
playerVirtual9	1	16.6	10	0.818182	10	3	0	5	1	0
playerVirtual0	1	9.96	10	0.818182	6	4	0	4	1	0
playerVirtual10	4	-4	0	0.333333	0	0	4	99	0	1
playerVirtual11	4	-6	0	0	0	0	6	99	0	1
playerVirtual12	4	-7	0	0	0	0	7	99	0	1
playerVirtual13	4	-5	0	0	0	0	5	99	0	1
playerVirtual14	4	-4	0	0	0	0	4	99	0	1
playerVirtual15	4	-2	0	0	0	0	2	99	0	1
playerVirtual16	4	-2	0	0	0	0	2	99	0	1
playerVirtual17	4	-2	0	0	0	0	2	99	0	1
playerVirtual18	4	-1	0	0	0	0	1	99	0	1
playerVirtual19	4	-2	0	0	0	0	2	99	0	1
playerVirtual20	4	-1	0	0	0	0	1	99	0	1
playerVirtual21	4	-2	0	0	0	0	2	99	0	1
playerVirtual22	4	-1	0	0	0	0	1	99	0	1
playerVirtual23	4	-2	0	0	0	0	2	99	0	1
playerVirtual24	4	-2	0	0	0	0	2	99	0	1
playerVirtual25	4	-1	0	0	0	0	1	99	0	1
playerVirtual26	3	-1	0	0	0	0	1	99	1	1
playerVirtual27	4	-1	0	0	0	0	1	99	0	1
playerVirtual28	3	0	1	0	0	0	1	99	1	0
playerVirtual29	3	0	0	0	0	0	1	99	1	0
name	division	score	history	fairness	accepts	running	rejects	max_instance	enabled	playoff
playerVirtual1	1	19.92	11	0.5	13	9	0	9	1	0
playerVirtual2	1	13.28	11	0.818182	8	4	0	4	1	0
playerVirtual3	1	10.3	11	0.846154	7	6	0	6	1	0
playerVirtual4	1	12.95	11	0.727273	8	6	0	6	1	0
playerVirtual5	1	13.29	11	0.545455	9	6	0	6	1	0
playerVirtual6	2	3.32	20	0.272727	2	2	0	2	1	0
playerVirtual7	2	3.65	20	0.272727	2	2	0	2	1	0
playerVirtual8	4	-0.01	0	0.125	1	1	2	1	0	1
playerVirtual9	1	16.6	11	0.818182	10	3	0	5	1	0
playerVirtual0	1	9.96	11	0.818182	6	4	0	4	1	0
playerVirtual10	4	-4	0	0.333333	0	0	4	99	0	1
playerVirtual11	4	-6	0	0	0	0	6	99	0	1
playerVirtual12	4	-7	0	0	0	0	7	99	0	1
playerVirtual13	4	-5	0	0	0	0	5	99	0	1
playerVirtual14	4	-4	0	0	0	0	4	99	0	1
playerVirtual15	4	-2	0	0	0	0	2	99	0	1
playerVirtual16	4	-2	0	0	0	0	2	99	0	1
playerVirtual17	4	-2	0	0	0	0	2	99	0	1
playerVirtual18	4	-1	0	0	0	0	1	99	0	1
playerVirtual19	4	-2	0	0	0	0	2	99	0	1
playerVirtual20	4	-1	0	0	0	0	1	99	0	1
playerVirtual21	4	-2	0	0	0	0	2	99	0	1
