ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
60 192.168.0.200 playerVirtual12_6282149131 playerVirtual12 192.168.0.200 playerVirtual8 playerVirtual8_af16c302ea 1 1 512 1 2018-02-12 23:44:47 NULL
61 192.168.0.200 playerVirtual13_990694203 playerVirtual13 192.168.0.200 playerVirtual6 playerVirtual6_931c67efcf 3 1 2048 20 2018-02-12 23:45:16 2018-02-12 23:47:56
62 192.168.0.200 playerVirtual6_6280643141 playerVirtual6 192.168.0.200 playerVirtual17 playerVirtual17_a8411821e4 3 1 512 1 2018-02-12 23:45:20 2018-02-13 01:30:17
63 192.168.0.200 playerVirtual15_4476462938 playerVirtual15 192.168.0.200 playerVirtual7 playerVirtual7_c3a3b54d37 1 1 2048 20 2018-02-12 23:45:34 NULL
64 192.168.0.200 playerVirtual17_272887063 playerVirtual17 192.168.0.200 playerVirtual15 playerVirtual15_7c7dac3d88 3 1 2048 20 2018-02-12 23:45:42 2018-02-13 01:25:34
65 192.168.0.200 playerVirtual19_2359368952 playerVirtual19 192.168.0.200 playerVirtual9 playerVirtual9_3ec0a240d2 1 1 512 1 2018-02-12 23:45:46 NULL
66 192.168.0.200 playerVirtual9_682797 playerVirtual9 192.168.0.200 playerVirtual19 playerVirtual19_91d307506f 1 1 2048 20 2018-02-12 23:46:06 NULL
67 192.168.0.200 playerVirtual7_214880781 playerVirtual7 192.168.0.200 playerVirtual12 playerVirtual12_400b50bf4c 1 1 2048 20 2018-02-12 23:46:09 NULL
68 192.168.0.200 playerVirtual16_16914091 playerVirtual16 192.168.0.200 playerVirtual14 playerVirtual14_95d0874043 1 1 2048 20 2018-02-12 23:46:20 NULL
69 192.168.0.200 playerVirtual18_182859403 playerVirtual18 192.168.0.200 playerVirtual16 playerVirtual16_40ed1c7f98 3 1 512 1 2018-02-12 23:46:29 2018-02-12 23:56:49
70 192.168.0.200 playerVirtual11_6285257156 playerVirtual11 192.168.0.200 playerVirtual18 playerVirtual18_c5f2807474 1 1 512 1 2018-02-12 23:48:45 NULL
71 192.168.0.200 playerVirtual8_6955737 playerVirtual8 192.168.0.200 playerVirtual10 playerVirtual10_317457833f 1 1 2048 20 2018-02-12 23:49:35 NULL
72 192.168.0.200 playerVirtual14_6641406 playerVirtual14 192.168.0.200 playerVirtual11 playerVirtual11_84a3614959 1 1 2048 20 2018-02-12 23:50:01 NULL
73 192.168.0.200 playerVirtual12_1438244924 playerVirtual12 192.168.0.200 playerVirtual8 playerVirtual8_111e67c2ff 3 1 2048 20 2018-02-12 23:50:30 2018-02-12 23:58:15
74 192.168.0.200 playerVirtual6_6289704471 playerVirtual6 192.168.0.200 playerVirtual17 playerVirtual17_ba8304ef47 3 1 512 1 2018-02-12 23:50:53 2018-02-13 00:09:15
75 192.168.0.200 playerVirtual10_3338579772 playerVirtual10 192.168.0.200 playerVirtual6 playerVirtual6_7ffbbea03b 3 1 2048 20 2018-02-12 23:51:23 2018-02-13 01:28:15
76 192.168.0.200 playerVirtual17_794070039 playerVirtual17 192.168.0.200 playerVirtual7 playerVirtual7_86818e3e62 3 1 512 1 2018-02-12 23:51:34 2018-02-13 02:35:11
77 192.168.0.200 playerVirtual19_990694203 playerVirtual19 192.168.0.200 playerVirtual15 playerVirtual15_1246714a97 3 1 2048 20 2018-02-12 23:53:25 2018-02-13 00:00:20
78 192.168.0.200 playerVirtual7_6296268057 playerVirtual7 192.168.0.200 playerVirtual9 playerVirtual9_815bba22a9 1 1 512 1 2018-02-12 23:54:55 NULL
79 192.168.0.200 playerVirtual16_6296865278 playerVirtual16 192.168.0.200 playerVirtual19 playerVirtual19_7fd9e9597b 1 1 512 1 2018-02-12 23:55:38 NULL
80 192.168.0.200 playerVirtual14_6264344062 playerVirtual14 192.168.0.200 playerVirtual12 playerVirtual12_81b9031856 1 1 2048 20 2018-02-13 00:00:42 NULL
81 192.168.0.200 playerVirtual13_182859403 playerVirtual13 192.168.0.200 playerVirtual14 playerVirtual14_8b78140e44 3 1 512 1 2018-02-13 00:01:23 2018-02-13 00:04:11
82 192.168.0.200 playerVirtual9_990694203 playerVirtual9 192.168.0.200 playerVirtual13 playerVirtual13_6b33f91e91 3 1 2048 20 2018-02-13 00:03:07 2018-02-13 00:30:58
83 192.168.0.200 playerVirtual10_6301942525 playerVirtual10 192.168.0.200 playerVirtual16 playerVirtual16_697042be7a 1 1 512 1 2018-02-13 00:03:08 NULL
84 192.168.0.200 playerVirtual17_5297461910 playerVirtual17 192.168.0.200 playerVirtual18 playerVirtual18_f1e2056685 3 1 512 1 2018-02-13 00:04:48 2018-02-13 01:32:13
85 192.168.0.200 playerVirtual16_908315 playerVirtual16 192.168.0.200 playerVirtual10 playerVirtual10_c84006bc46 1 1 2048 20 2018-02-13 00:07:12 NULL
86 192.168.0.200 playerVirtual11_182859403 playerVirtual11 192.168.0.200 playerVirtual8 playerVirtual8_96d6690721 1 1 512 1 2018-02-13 00:08:37 NULL
87 192.168.0.200 playerVirtual8_539194189 playerVirtual8 192.168.0.200 playerVirtual11 playerVirtual11_9ce9a02f2b 3 1 2048 20 2018-02-13 00:09:35 2018-02-13 02:48:14
88 192.168.0.200 playerVirtual12_4246147567 playerVirtual12 192.168.0.200 playerVirtual17 playerVirtual17_7b621aef52 3 2 4096 40 2018-02-13 00:11:56 2018-02-13 03:31:20
89 192.168.0.200 playerVirtual14_4246147567 playerVirtual14 192.168.0.200 playerVirtual6 playerVirtual6_b92e77d541 3 2 4096 40 2018-02-13 00:13:21 2018-02-13 01:48:45
90 192.168.0.200 playerVirtual19_4246147567 playerVirtual19 192.168.0.200 playerVirtual7 playerVirtual7_8ddece67ca 3 2 4096 40 2018-02-13 00:15:20 2018-02-13 03:34:56
91 192.168.0.200 playerVirtual7_5068098508 playerVirtual7 192.168.0.200 playerVirtual15 playerVirtual15_06402b3b1d 3 1 2048 20 2018-02-13 00:17:54 2018-02-13 00:56:52
92 192.168.0.200 playerVirtual18_4246147567 playerVirtual18 192.168.0.200 playerVirtual9 playerVirtual9_9a101c161f 3 2 4096 40 2018-02-13 00:18:30 2018-02-13 03:12:48
93 192.168.0.200 playerVirtual15_4246147567 playerVirtual15 192.168.0.200 playerVirtual19 playerVirtual19_262cd419ca 3 2 4096 40 2018-02-13 00:18:31 2018-02-13 03:01:11
94 192.168.0.200 playerVirtual11_4246147567 playerVirtual11 192.168.0.200 playerVirtual12 playerVirtual12_e7777eb983 3 2 4096 40 2018-02-13 00:19:34 2018-02-13 03:08:55
95 192.168.0.200 playerVirtual16_4246147567 playerVirtual16 192.168.0.200 playerVirtual14 playerVirtual14_a9086119de 3 2 4096 40 2018-02-13 00:19:39 2018-02-13 03:19:54
96 192.168.0.200 playerVirtual8_4246147567 playerVirtual8 192.168.0.200 playerVirtual13 playerVirtual13_7401314a28 3 2 4096 40 2018-02-13 00:21:16 2018-02-13 02:08:41
97 192.168.0.200 playerVirtual6_4246147567 playerVirtual6 192.168.0.200 playerVirtual16 playerVirtual16_7365d8210b 3 2 4096 40 2018-02-13 00:21:26 2018-02-13 02:40:20
98 192.168.0.200 playerVirtual13_2378747961 playerVirtual13 192.168.0.200 playerVirtual18 playerVirtual18_3a46dc1fff 3 1 512 1 2018-02-13 00:24:19 2018-02-13 01:29:22
99 192.168.0.200 playerVirtual9_990694203 playerVirtual9 192.168.0.200 playerVirtual10 playerVirtual10_8f44737c4c 3 1 2048 20 2018-02-13 00:26:28 2018-02-13 00:30:58
100 192.168.0.200 playerVirtual10_1095593 playerVirtual10 192.168.0.200 playerVirtual11 playerVirtual11_cdb9e3ae65 3 1 512 1 2018-02-13 00:27:34 2018-02-13 03:18:23
101 192.168.0.200 playerVirtual17_4246147567 playerVirtual17 192.168.0.200 playerVirtual8 playerVirtual8_10f30cbfaa 3 2 4096 40 2018-02-13 00:28:55 2018-02-13 03:14:43
102 192.168.0.200 playerVirtual13_4246147567 playerVirtual13 192.168.0.200 playerVirtual17 playerVirtual17_9a9607915f 3 2 4096 40 2018-02-13 00:30:12 2018-02-13 03:23:40
103 192.168.0.200 playerVirtual7_4246147567 playerVirtual7 192.168.0.200 playerVirtual6 playerVirtual6_36deaba88d 3 2 4096 40 2018-02-13 00:31:04 2018-02-13 03:13:52
104 192.168.0.200 playerVirtual12_4246147567 playerVirtual12 192.168.0.200 playerVirtual15 playerVirtual15_788b427510 3 2 4096 40 2018-02-13 00:37:10 2018-02-13 03:31:20
105 192.168.0.200 playerVirtual10_6335261139 playerVirtual10 192.168.0.200 playerVirtual19 playerVirtual19_3525673433 1 1 512 1 2018-02-13 00:38:54 NULL
106 192.168.0.200 playerVirtual14_4246147567 playerVirtual14 192.168.0.200 playerVirtual7 playerVirtual7_ba623fcd4b 3 2 4096 40 2018-02-13 00:39:13 2018-02-13 01:48:45
107 192.168.0.200 playerVirtual19_4246147567 playerVirtual19 192.168.0.200 playerVirtual12 playerVirtual12_00cb9cee68 3 2 4096 40 2018-02-13 00:40:48 2018-02-13 03:34:56
108 192.168.0.200 playerVirtual15_4246147567 playerVirtual15 192.168.0.200 playerVirtual10 playerVirtual10_ac569523c4 3 2 4096 40 2018-02-13 00:44:12 2018-02-13 03:01:11
109 192.168.0.200 playerVirtual18_4246147567 playerVirtual18 192.168.0.200 playerVirtual9 playerVirtual9_aca0802ac3 3 2 4096 40 2018-02-13 00:45:02 2018-02-13 03:12:48
110 192.168.0.200 playerVirtual16_4246147567 playerVirtual16 192.168.0.200 playerVirtual14 playerVirtual14_9fe9c9d1ef 3 2 4096 40 2018-02-13 00:46:37 2018-02-13 03:19:54
111 192.168.0.200 playerVirtual11_4246147567 playerVirtual11 192.168.0.200 playerVirtual15 playerVirtual15_16453d770b 3 2 4096 40 2018-02-13 00:47:13 2018-02-13 03:08:55
112 192.168.0.200 playerVirtual6_4246147567 playerVirtual6 192.168.0.200 playerVirtual13 playerVirtual13_bfd0fb8175 3 2 4096 40 2018-02-13 00:48:52 2018-02-13 02:40:20
113 192.168.0.200 playerVirtual8_4246147567 playerVirtual8 192.168.0.200 playerVirtual16 playerVirtual16_a69a799a9f 3 2 4096 40 2018-02-13 00:49:10 2018-02-13 02:08:41
114 192.168.0.200 playerVirtual17_4246147567 playerVirtual17 192.168.0.200 playerVirtual18 playerVirtual18_09430020e4 3 2 4096 40 2018-02-13 00:57:14 2018-02-13 03:14:43
115 192.168.0.200 playerVirtual10_4246147567 playerVirtual10 192.168.0.200 playerVirtual11 playerVirtual11_0aa63ba399 3 2 4096 40 2018-02-13 00:57:21 2018-02-13 02:37:09
