ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
35 192.168.0.200 playerVirtual4_38671842 playerVirtual4 192.168.0.200 playerVirtual8 playerVirtual8_fdc9d6ffee 1 1 1 512 1 2018-02-21 19:51:59 NULL
36 192.168.0.200 playerVirtual2_400453824 playerVirtual2 192.168.0.200 playerVirtual1058 playerVirtual2_400453824 0 1 1 512 1 2018-02-21 19:52:33 2018-02-21 19:52:33
37 192.168.0.200 playerVirtual8_4820318661 playerVirtual8 192.168.0.200 playerVirtual1058 playerVirtual8_4820318661 0 1 2 4096 40 2018-02-21 19:52:43 2018-02-21 19:52:43
38 192.168.0.200 playerVirtual4_4820217293 playerVirtual4 192.168.0.200 playerVirtual8 playerVirtual8_e29ee2da2a 1 1 2 4096 40 2018-02-21 19:54:44 NULL
39 192.168.0.200 playerVirtual1058_4819935267 playerVirtual1058 192.168.0.200 playerVirtual8 playerVirtual8_f0e3e6b039 1 1 2 4096 40 2018-02-21 19:56:00 NULL
40 192.168.0.200 playerVirtual2_6264344062 playerVirtual2 192.168.0.200 playerVirtual1058 playerVirtual2_6264344062 0 1 1 512 1 2018-02-21 19:56:01 2018-02-21 19:56:01
41 192.168.0.200 playerVirtual8_2378747961 playerVirtual8 192.168.0.200 playerVirtual1058 playerVirtual8_2378747961 0 1 1 512 1 2018-02-21 19:57:36 2018-02-21 19:57:36
42 192.168.0.200 playerVirtual4_5068098508 playerVirtual4 192.168.0.200 playerVirtual8 playerVirtual8_eea617ff66 1 1 1 2048 20 2018-02-21 19:59:13 NULL
43 192.168.0.200 playerVirtual2_1095593 playerVirtual2 192.168.0.200 playerVirtual8 playerVirtual8_67f5ec217d 3 1 1 512 1 2018-02-21 20:01:01 2018-02-21 21:21:37
44 192.168.0.200 playerVirtual8_2148750930 playerVirtual8 192.168.0.200 playerVirtual4 playerVirtual8_2148750930 0 0 1 2048 20 2018-02-21 20:01:15 2018-02-21 20:01:15
45 192.168.0.200 playerVirtual4_563574327 playerVirtual4 192.168.0.200 playerVirtual1003 playerVirtual4_563574327 0 1 1 2048 20 2018-02-21 20:03:19 2018-02-21 20:03:19
46 192.168.0.200 playerVirtual2_16915963 playerVirtual2 192.168.0.200 playerVirtual1003 playerVirtual2_16915963 0 1 1 2048 20 2018-02-21 20:04:42 2018-02-21 20:04:42
47 192.168.0.200 playerVirtual8_5623125514 playerVirtual8 192.168.0.200 playerVirtual1003 playerVirtual8_5623125514 0 1 1 2048 20 2018-02-21 20:06:21 2018-02-21 20:06:21
48 192.168.0.200 playerVirtual4_284757920 playerVirtual4 192.168.0.200 playerVirtual1003 playerVirtual4_284757920 0 1 1 2048 20 2018-02-21 20:07:59 2018-02-21 20:07:59
49 192.168.0.200 playerVirtual2_272887063 playerVirtual2 192.168.0.200 playerVirtual4 playerVirtual2_272887063 0 0 1 2048 20 2018-02-21 20:09:49 2018-02-21 20:09:49
50 192.168.0.200 playerVirtual8_6274355716 playerVirtual8 192.168.0.200 playerVirtual2 playerVirtual8_6274355716 0 0 1 512 1 2018-02-21 20:10:06 2018-02-21 20:10:06
51 192.168.0.200 playerVirtual4_182859403 playerVirtual4 192.168.0.200 playerVirtual1649 playerVirtual4_182859403 0 1 1 512 1 2018-02-21 20:13:13 2018-02-21 20:13:13
52 192.168.0.200 playerVirtual8_4820204870 playerVirtual8 192.168.0.200 playerVirtual4 playerVirtual4_e0114fb9a0 1 1 2 4096 40 2018-02-21 20:16:30 NULL
53 192.168.0.200 playerVirtual8_990694203 playerVirtual8 192.168.0.200 playerVirtual4 playerVirtual4_3a47c1f4c2 3 1 1 2048 20 2018-02-21 20:20:45 2018-02-21 20:27:10
54 192.168.0.200 playerVirtual2_6280643141 playerVirtual2 192.168.0.200 playerVirtual1685 playerVirtual2_6280643141 0 1 1 512 1 2018-02-21 20:22:36 2018-02-21 20:22:36
55 192.168.0.200 playerVirtual4_6280638724 playerVirtual4 192.168.0.200 playerVirtual1685 playerVirtual4_6280638724 0 1 1 512 1 2018-02-21 20:22:57 2018-02-21 20:22:57
56 192.168.0.200 playerVirtual4_272887063 playerVirtual4 192.168.0.200 playerVirtual1685 playerVirtual4_272887063 0 1 1 2048 20 2018-02-21 20:28:08 2018-02-21 20:28:08
57 192.168.0.200 playerVirtual8_6282149131 playerVirtual8 192.168.0.200 playerVirtual4 playerVirtual4_7280d6ffee 1 1 1 512 1 2018-02-21 20:30:47 NULL
58 192.168.0.200 playerVirtual2_2359368952 playerVirtual2 192.168.0.200 playerVirtual4 playerVirtual2_2359368952 0 0 1 512 1 2018-02-21 20:32:38 2018-02-21 20:32:38
59 192.168.0.200 playerVirtual4_1436323714 playerVirtual4 192.168.0.200 playerVirtual1173 playerVirtual4_1436323714 0 1 1 2048 20 2018-02-21 20:34:12 2018-02-21 20:34:12
60 192.168.0.200 playerVirtual8_214880781 playerVirtual8 192.168.0.200 playerVirtual1173 playerVirtual8_214880781 0 1 1 2048 20 2018-02-21 20:37:34 2018-02-21 20:37:34
