ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
127 192.168.0.200 playerVirtual15_4246147567 playerVirtual15 192.168.0.200 playerVirtual12 playerVirtual12_5165bb5442 3 2 4096 40 2018-02-14 04:29:45 2018-02-14 04:43:14
128 192.168.0.200 playerVirtual12_4246147567 playerVirtual12 192.168.0.200 playerVirtual18 playerVirtual18_2e2d327f65 3 2 4096 40 2018-02-14 04:32:14 2018-02-14 05:34:54
129 192.168.0.200 playerVirtual16_4246147567 playerVirtual16 192.168.0.200 playerVirtual17 playerVirtual17_177ad7c317 3 2 4096 40 2018-02-14 04:32:40 2018-02-14 05:25:53
130 192.168.0.200 playerVirtual17_4246147567 playerVirtual17 192.168.0.200 playerVirtual13 playerVirtual13_af6ef80759 3 2 4096 40 2018-02-14 04:42:01 2018-02-14 05:30:10
131 192.168.0.200 playerVirtual13_4246147567 playerVirtual13 192.168.0.200 playerVirtual19 playerVirtual19_c54ec0a6ca 3 2 4096 40 2018-02-14 04:46:58 2018-02-14 04:59:18
132 192.168.0.200 playerVirtual18_990694203 playerVirtual18 192.168.0.200 playerVirtual14 playerVirtual14_2b79c8895e 3 1 2048 20 2018-02-14 04:47:20 2018-02-14 04:59:45
133 192.168.0.200 playerVirtual14_4246147567 playerVirtual14 192.168.0.200 playerVirtual15 playerVirtual15_1c90d49094 3 2 4096 40 2018-02-14 04:57:29 2018-02-14 05:17:34
134 192.168.0.200 playerVirtual15_5297461910 playerVirtual15 192.168.0.200 playerVirtual16 playerVirtual16_f6b99673aa 1 1 512 1 2018-02-14 05:09:28 NULL
135 192.168.0.200 playerVirtual16_4246147567 playerVirtual16 192.168.0.200 playerVirtual17 playerVirtual17_ba2dd5867b 3 2 4096 40 2018-02-14 05:12:27 2018-02-14 05:25:53
136 192.168.0.200 playerVirtual12_4246147567 playerVirtual12 192.168.0.200 playerVirtual18 playerVirtual18_10831661ea 3 2 4096 40 2018-02-14 05:13:22 2018-02-14 05:34:54
137 192.168.0.200 playerVirtual17_4246147567 playerVirtual17 192.168.0.200 playerVirtual13 playerVirtual13_dfc34f3dbd 3 2 4096 40 2018-02-14 05:22:26 2018-02-14 05:30:10
138 192.168.0.200 playerVirtual15_4246147567 playerVirtual15 192.168.0.200 playerVirtual12 playerVirtual12_97f5d0ef37 1 2 4096 40 2018-02-14 05:26:44 NULL
139 192.168.0.200 playerVirtual13_990694203 playerVirtual13 192.168.0.200 playerVirtual19 playerVirtual19_333a95cbfc 3 1 2048 20 2018-02-14 05:28:50 2018-02-14 05:42:11
