ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
111 192.168.0.200 playerVirtual16_4246147567 playerVirtual16 192.168.0.200 playerVirtual19 playerVirtual19_dfd1371a88 3 2 4096 40 2018-02-16 17:11:14 2018-02-16 19:29:31
112 192.168.0.200 playerVirtual15_4246147567 playerVirtual15 192.168.0.200 playerVirtual10 playerVirtual15_4246147567 0 2 4096 40 2018-02-16 17:14:12 2018-02-16 17:14:12
113 192.168.0.200 playerVirtual13_4246147567 playerVirtual13 192.168.0.200 playerVirtual18 playerVirtual18_90e12fbe48 3 2 4096 40 2018-02-16 17:20:12 2018-02-16 18:57:57
114 192.168.0.200 playerVirtual14_4246147567 playerVirtual14 192.168.0.200 playerVirtual2 playerVirtual14_4246147567 0 2 4096 40 2018-02-16 17:23:53 2018-02-16 17:23:53
115 192.168.0.200 playerVirtual5_4246147567 playerVirtual5 192.168.0.200 playerVirtual6 playerVirtual6_408a36292f 3 2 4096 40 2018-02-16 17:25:14 2018-02-16 17:31:31
116 192.168.0.200 playerVirtual10_4246147567 playerVirtual10 192.168.0.200 playerVirtual16 playerVirtual16_58a1a5f8d6 3 2 4096 40 2018-02-16 17:25:39 2018-02-16 18:36:54
117 192.168.0.200 playerVirtual17_990694203 playerVirtual17 192.168.0.200 playerVirtual15 playerVirtual15_69d511b2e5 3 1 2048 20 2018-02-16 17:27:39 2018-02-16 20:05:48
118 192.168.0.200 playerVirtual6_272887063 playerVirtual6 192.168.0.200 playerVirtual12 playerVirtual6_272887063 0 1 2048 20 2018-02-16 17:35:38 2018-02-16 17:35:38
119 192.168.0.200 playerVirtual12_4246147567 playerVirtual12 192.168.0.200 playerVirtual13 playerVirtual12_4246147567 0 2 4096 40 2018-02-16 17:38:30 2018-02-16 17:38:30
120 192.168.0.200 playerVirtual18_4246147567 playerVirtual18 192.168.0.200 playerVirtual5 playerVirtual18_4246147567 0 2 4096 40 2018-02-16 17:39:37 2018-02-16 17:39:37
121 192.168.0.200 playerVirtual16_4246147567 playerVirtual16 192.168.0.200 playerVirtual17 playerVirtual17_b6c54ad3b5 3 2 4096 40 2018-02-16 17:39:40 2018-02-16 19:29:31
122 192.168.0.200 playerVirtual15_4246147567 playerVirtual15 192.168.0.200 playerVirtual14 playerVirtual14_a3de911f6c 1 2 4096 40 2018-02-16 17:43:01 NULL
123 192.168.0.200 playerVirtual6_5297461910 playerVirtual6 192.168.0.200 playerVirtual18 playerVirtual18_2e9a0d7fba 3 1 512 1 2018-02-16 17:45:25 2018-02-16 20:00:04
124 192.168.0.200 playerVirtual19_4820150269 playerVirtual19 192.168.0.200 playerVirtual10 playerVirtual19_4820150269 0 2 4096 40 2018-02-16 17:47:17 2018-02-16 17:47:17
125 192.168.0.200 playerVirtual13_82730999 playerVirtual13 192.168.0.200 playerVirtual2 playerVirtual2_f91500cb64 1 1 512 1 2018-02-16 17:49:29 NULL
126 192.168.0.200 playerVirtual14_3338579772 playerVirtual14 192.168.0.200 playerVirtual19 playerVirtual19_9d7f4372c5 1 1 2048 20 2018-02-16 17:53:46 NULL
127 192.168.0.200 playerVirtual13_4246147567 playerVirtual13 192.168.0.200 playerVirtual6 playerVirtual6_d15e6ed0ba 3 2 4096 40 2018-02-16 17:54:37 2018-02-16 18:57:57
128 192.168.0.200 playerVirtual17_4246147567 playerVirtual17 192.168.0.200 playerVirtual16 playerVirtual16_63687eaa22 1 2 4096 40 2018-02-16 17:59:09 NULL
129 192.168.0.200 playerVirtual2_4246147567 playerVirtual2 192.168.0.200 playerVirtual12 playerVirtual12_9e1c8232d1 3 2 4096 40 2018-02-16 18:02:50 2018-02-16 20:00:34
130 192.168.0.200 playerVirtual19_4246147567 playerVirtual19 192.168.0.200 playerVirtual15 playerVirtual15_6811b1487b 3 2 4096 40 2018-02-16 18:05:49 2018-02-16 18:19:29
131 192.168.0.200 playerVirtual6_990694203 playerVirtual6 192.168.0.200 playerVirtual13 playerVirtual6_990694203 0 1 2048 20 2018-02-16 18:08:35 2018-02-16 18:08:35
132 192.168.0.200 playerVirtual14_4246147567 playerVirtual14 192.168.0.200 playerVirtual17 playerVirtual17_9bca106027 1 2 4096 40 2018-02-16 18:09:20 NULL
133 192.168.0.200 playerVirtual12_6280643141 playerVirtual12 192.168.0.200 playerVirtual2 playerVirtual12_6280643141 0 1 512 1 2018-02-16 18:09:35 2018-02-16 18:09:35
134 192.168.0.200 playerVirtual16_4246147567 playerVirtual16 192.168.0.200 playerVirtual14 playerVirtual14_0f75423bb7 3 2 4096 40 2018-02-16 18:10:24 2018-02-16 19:29:31
135 192.168.0.200 playerVirtual18_4246147567 playerVirtual18 192.168.0.200 playerVirtual10 playerVirtual18_4246147567 0 2 4096 40 2018-02-16 18:12:01 2018-02-16 18:12:01
136 192.168.0.200 playerVirtual13_4246147567 playerVirtual13 192.168.0.200 playerVirtual2 playerVirtual2_44ea31011a 3 2 4096 40 2018-02-16 18:30:24 2018-02-16 18:57:57
137 192.168.0.200 playerVirtual2_904011 playerVirtual2 192.168.0.200 playerVirtual18 playerVirtual18_f1fe1fd9d8 1 1 2048 20 2018-02-16 18:38:34 NULL
138 192.168.0.200 playerVirtual19_4246147567 playerVirtual19 192.168.0.200 playerVirtual6 playerVirtual19_4246147567 0 2 4096 40 2018-02-16 18:41:08 2018-02-16 18:41:08
139 192.168.0.200 playerVirtual16_4246147567 playerVirtual16 192.168.0.200 playerVirtual19 playerVirtual19_36e3daf070 3 2 4096 40 2018-02-16 18:45:30 2018-02-16 19:29:31
