ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
69 192.168.0.200 playerVirtual18_182859403 playerVirtual18 192.168.0.200 playerVirtual16 playerVirtual16_e7b625b433 3 1 512 1 2018-02-13 04:22:51 2018-02-13 04:40:00
70 192.168.0.200 playerVirtual11_6285257156 playerVirtual11 192.168.0.200 playerVirtual18 playerVirtual18_a65f54a9d1 1 1 512 1 2018-02-13 04:25:06 NULL
71 192.168.0.200 playerVirtual8_6955737 playerVirtual8 192.168.0.200 playerVirtual10 playerVirtual10_709e7e7c47 3 1 2048 20 2018-02-13 04:25:44 2018-02-13 04:33:23
72 192.168.0.200 playerVirtual14_6641406 playerVirtual14 192.168.0.200 playerVirtual11 playerVirtual11_f1c2f8df7f 1 1 2048 20 2018-02-13 04:26:18 NULL
73 192.168.0.200 playerVirtual12_6955737 playerVirtual12 192.168.0.200 playerVirtual8 playerVirtual8_64fb6afe1c 1 1 2048 20 2018-02-13 04:26:39 NULL
74 192.168.0.200 playerVirtual13_6289704471 playerVirtual13 192.168.0.200 playerVirtual2 playerVirtual13_6289704471 0 1 512 1 2018-02-13 04:27:12 2018-02-13 04:27:12
75 192.168.0.200 playerVirtual10_1438244924 playerVirtual10 192.168.0.200 playerVirtual17 playerVirtual17_6928e0e183 3 1 2048 20 2018-02-13 04:27:43 2018-02-13 04:34:37
76 192.168.0.200 playerVirtual17_1436344784 playerVirtual17 192.168.0.200 playerVirtual15 playerVirtual15_73d595768c 3 1 2048 20 2018-02-13 04:27:46 2018-02-13 05:17:26
77 192.168.0.200 playerVirtual19_794070039 playerVirtual19 192.168.0.200 playerVirtual9 playerVirtual9_3ea73e08a8 3 1 512 1 2018-02-13 04:29:10 2018-02-13 06:56:51
78 192.168.0.200 playerVirtual16_990694203 playerVirtual16 192.168.0.200 playerVirtual12 playerVirtual12_84100ddf88 3 1 2048 20 2018-02-13 04:30:28 2018-02-13 04:37:13
79 192.168.0.200 playerVirtual18_6296268057 playerVirtual18 192.168.0.200 playerVirtual19 playerVirtual19_52fafcfa14 1 1 512 1 2018-02-13 04:31:49 NULL
80 192.168.0.200 playerVirtual2_6296865278 playerVirtual2 192.168.0.200 playerVirtual14 playerVirtual14_1743044ece 1 1 512 1 2018-02-13 04:36:24 NULL
81 192.168.0.200 playerVirtual14_6264344062 playerVirtual14 192.168.0.200 playerVirtual16 playerVirtual16_b74da09ae0 1 1 2048 20 2018-02-13 04:37:02 NULL
82 192.168.0.200 playerVirtual12_6301942525 playerVirtual12 192.168.0.200 playerVirtual18 playerVirtual18_5df6fcf617 1 1 512 1 2018-02-13 04:39:28 NULL
83 192.168.0.200 playerVirtual9_5297461910 playerVirtual9 192.168.0.200 playerVirtual10 playerVirtual10_e235d51104 3 1 512 1 2018-02-13 04:40:32 2018-02-13 05:45:21
84 192.168.0.200 playerVirtual19_1095593 playerVirtual19 192.168.0.200 playerVirtual11 playerVirtual11_c5a57bca81 3 1 512 1 2018-02-13 04:42:19 2018-02-13 04:49:34
85 192.168.0.200 playerVirtual11_182859403 playerVirtual11 192.168.0.200 playerVirtual8 playerVirtual8_c4e8303092 1 1 512 1 2018-02-13 04:45:01 NULL
86 192.168.0.200 playerVirtual14_4246147567 playerVirtual14 192.168.0.200 playerVirtual13 playerVirtual13_e10b6b433e 3 2 4096 40 2018-02-13 04:49:27 2018-02-13 08:11:09
87 192.168.0.200 playerVirtual13_4246147567 playerVirtual13 192.168.0.200 playerVirtual17 playerVirtual17_54f767ffa3 3 2 4096 40 2018-02-13 04:49:47 2018-02-13 07:50:42
88 192.168.0.200 playerVirtual12_6315250734 playerVirtual12 192.168.0.200 playerVirtual15 playerVirtual15_cc917b6270 1 1 512 1 2018-02-13 04:50:06 NULL
