ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
49 192.168.0.200 playerVirtual15_2378747961 playerVirtual15 192.168.0.200 playerVirtual17 playerVirtual17_254f832bbf 3 1 512 1 2018-02-15 15:48:42 2018-02-15 16:08:34
50 192.168.0.200 playerVirtual17_5068098508 playerVirtual17 192.168.0.200 playerVirtual15 playerVirtual15_97abf2a6c7 3 1 2048 20 2018-02-15 15:48:47 2018-02-15 16:16:30
51 192.168.0.200 playerVirtual9_227443932 playerVirtual9 192.168.0.200 playerVirtual19 playerVirtual19_855b71086c 1 1 2048 20 2018-02-15 15:50:03 NULL
52 192.168.0.200 playerVirtual7_1095593 playerVirtual7 192.168.0.200 playerVirtual9 playerVirtual9_246a22453d 2 1 512 1 2018-02-15 15:50:03 2018-02-15 16:04:48
53 192.168.0.200 playerVirtual19_2148750930 playerVirtual19 192.168.0.200 playerVirtual7 playerVirtual19_2148750930 0 1 2048 20 2018-02-15 15:50:06 2018-02-15 15:50:06
54 192.168.0.200 playerVirtual14_765651 playerVirtual14 192.168.0.200 playerVirtual12 playerVirtual12_d8e70cd06d 1 1 2048 20 2018-02-15 15:50:21 NULL
55 192.168.0.200 playerVirtual16_5623125514 playerVirtual16 192.168.0.200 playerVirtual14 playerVirtual14_cc2213eee0 1 1 2048 20 2018-02-15 15:50:44 NULL
56 192.168.0.200 playerVirtual18_272887063 playerVirtual18 192.168.0.200 playerVirtual16 playerVirtual16_0677e0e6fc 3 1 2048 20 2018-02-15 15:50:56 2018-02-15 15:57:00
57 192.168.0.200 playerVirtual1_6274355716 playerVirtual1 192.168.0.200 playerVirtual18 playerVirtual18_7c411ef1f3 3 1 512 1 2018-02-15 15:53:36 2018-02-15 16:22:02
58 192.168.0.200 playerVirtual11_38676294 playerVirtual11 192.168.0.200 playerVirtual1 playerVirtual1_e9ac85e282 1 1 512 1 2018-02-15 15:54:27 NULL
59 192.168.0.200 playerVirtual8_4820204870 playerVirtual8 192.168.0.200 playerVirtual11 playerVirtual8_4820204870 0 2 4096 40 2018-02-15 15:55:47 2018-02-15 15:55:47
60 192.168.0.200 playerVirtual12_6282149131 playerVirtual12 192.168.0.200 playerVirtual8 playerVirtual12_6282149131 0 1 512 1 2018-02-15 15:55:57 2018-02-15 15:55:57
61 192.168.0.200 playerVirtual13_990694203 playerVirtual13 192.168.0.200 playerVirtual6 playerVirtual13_990694203 0 1 2048 20 2018-02-15 15:56:28 2018-02-15 15:56:28
62 192.168.0.200 playerVirtual6_6280643141 playerVirtual6 192.168.0.200 playerVirtual17 playerVirtual17_cbc696e85a 3 1 512 1 2018-02-15 15:56:31 2018-02-15 17:50:09
63 192.168.0.200 playerVirtual15_4476462938 playerVirtual15 192.168.0.200 playerVirtual19 playerVirtual19_ce42e466df 1 1 2048 20 2018-02-15 15:56:45 NULL
64 192.168.0.200 playerVirtual17_272887063 playerVirtual17 192.168.0.200 playerVirtual15 playerVirtual15_6d0bbe2df5 3 1 2048 20 2018-02-15 15:56:53 2018-02-15 17:23:13
65 192.168.0.200 playerVirtual9_2359368952 playerVirtual9 192.168.0.200 playerVirtual7 playerVirtual7_c330fd20b8 1 1 512 1 2018-02-15 15:56:56 NULL
66 192.168.0.200 playerVirtual7_1436323714 playerVirtual7 192.168.0.200 playerVirtual9 playerVirtual9_ce71a3fc1a 1 1 2048 20 2018-02-15 15:57:09 NULL
67 192.168.0.200 playerVirtual19_682797 playerVirtual19 192.168.0.200 playerVirtual12 playerVirtual12_4dd787506a 1 1 2048 20 2018-02-15 15:57:17 NULL
68 192.168.0.200 playerVirtual16_16914091 playerVirtual16 192.168.0.200 playerVirtual14 playerVirtual14_84d3313b12 1 1 2048 20 2018-02-15 15:57:30 NULL
69 192.168.0.200 playerVirtual11_6285257156 playerVirtual11 192.168.0.200 playerVirtual16 playerVirtual16_2a4e4b6015 1 1 512 1 2018-02-15 15:59:55 NULL
70 192.168.0.200 playerVirtual8_6955737 playerVirtual8 192.168.0.200 playerVirtual18 playerVirtual18_885ca733b5 1 1 2048 20 2018-02-15 16:00:45 NULL
71 192.168.0.200 playerVirtual14_6641406 playerVirtual14 192.168.0.200 playerVirtual1 playerVirtual14_6641406 0 1 2048 20 2018-02-15 16:01:08 2018-02-15 16:01:08
72 192.168.0.200 playerVirtual12_1438244924 playerVirtual12 192.168.0.200 playerVirtual11 playerVirtual12_1438244924 0 1 2048 20 2018-02-15 16:01:41 2018-02-15 16:01:41
73 192.168.0.200 playerVirtual6_1438244924 playerVirtual6 192.168.0.200 playerVirtual8 playerVirtual6_1438244924 0 1 2048 20 2018-02-15 16:02:00 2018-02-15 16:02:00
74 192.168.0.200 playerVirtual18_3338579772 playerVirtual18 192.168.0.200 playerVirtual6 playerVirtual18_3338579772 0 1 2048 20 2018-02-15 16:02:35 2018-02-15 16:02:35
75 192.168.0.200 playerVirtual17_794070039 playerVirtual17 192.168.0.200 playerVirtual19 playerVirtual19_12376d9d6a 3 1 512 1 2018-02-15 16:02:45 2018-02-15 18:50:50
76 192.168.0.200 playerVirtual19_6296268057 playerVirtual19 192.168.0.200 playerVirtual17 playerVirtual17_47e04f7aa7 1 1 512 1 2018-02-15 16:06:01 NULL
77 192.168.0.200 playerVirtual16_6296865278 playerVirtual16 192.168.0.200 playerVirtual15 playerVirtual15_5014134115 1 1 512 1 2018-02-15 16:06:55 NULL
78 192.168.0.200 playerVirtual1_990694203 playerVirtual1 192.168.0.200 playerVirtual9 playerVirtual9_0f579e7dcd 3 1 2048 20 2018-02-15 16:07:11 2018-02-15 16:11:42
79 192.168.0.200 playerVirtual14_6264344062 playerVirtual14 192.168.0.200 playerVirtual12 playerVirtual12_ad8c8b64e4 1 1 2048 20 2018-02-15 16:11:52 NULL
80 192.168.0.200 playerVirtual13_182859403 playerVirtual13 192.168.0.200 playerVirtual14 playerVirtual14_251c5ccdca 3 1 512 1 2018-02-15 16:12:33 2018-02-15 16:15:18
81 192.168.0.200 playerVirtual9_990694203 playerVirtual9 192.168.0.200 playerVirtual16 playerVirtual16_e7bd556df4 3 1 2048 20 2018-02-15 16:13:56 2018-02-15 16:42:05
82 192.168.0.200 playerVirtual18_5297461910 playerVirtual18 192.168.0.200 playerVirtual1 playerVirtual18_5297461910 0 1 512 1 2018-02-15 16:15:05 2018-02-15 16:15:05
83 192.168.0.200 playerVirtual19_6274355716 playerVirtual19 192.168.0.200 playerVirtual18 playerVirtual18_97e759cf81 1 1 512 1 2018-02-15 16:18:03 NULL
84 192.168.0.200 playerVirtual16_908315 playerVirtual16 192.168.0.200 playerVirtual11 playerVirtual16_908315 0 1 2048 20 2018-02-15 16:18:25 2018-02-15 16:18:25
85 192.168.0.200 playerVirtual11_182859403 playerVirtual11 192.168.0.200 playerVirtual8 playerVirtual8_55eb24d5eb 1 1 512 1 2018-02-15 16:19:47 NULL
86 192.168.0.200 playerVirtual8_539194189 playerVirtual8 192.168.0.200 playerVirtual6 playerVirtual8_539194189 0 1 2048 20 2018-02-15 16:20:46 2018-02-15 16:20:46
87 192.168.0.200 playerVirtual12_4246147567 playerVirtual12 192.168.0.200 playerVirtual19 playerVirtual19_d4cd75a9f5 3 2 4096 40 2018-02-15 16:23:06 2018-02-15 16:30:58
88 192.168.0.200 playerVirtual6_4246147567 playerVirtual6 192.168.0.200 playerVirtual17 playerVirtual17_45d9e9b344 3 2 4096 40 2018-02-15 16:23:56 2018-02-15 16:56:48
89 192.168.0.200 playerVirtual14_4246147567 playerVirtual14 192.168.0.200 playerVirtual13 playerVirtual13_8ced6518d7 3 2 4096 40 2018-02-15 16:24:29 2018-02-15 19:46:35
90 192.168.0.200 playerVirtual17_6316827871 playerVirtual17 192.168.0.200 playerVirtual15 playerVirtual15_30b86de385 1 1 512 1 2018-02-15 16:25:43 NULL
91 192.168.0.200 playerVirtual15_4246147567 playerVirtual15 192.168.0.200 playerVirtual9 playerVirtual15_4246147567 0 2 4096 40 2018-02-15 16:29:43 2018-02-15 16:29:43
92 192.168.0.200 playerVirtual19_5068098508 playerVirtual19 192.168.0.200 playerVirtual12 playerVirtual12_96b6594242 3 1 2048 20 2018-02-15 16:30:00 2018-02-15 17:10:13
93 192.168.0.200 playerVirtual11_4246147567 playerVirtual11 192.168.0.200 playerVirtual16 playerVirtual16_b354c33559 3 2 4096 40 2018-02-15 16:30:31 2018-02-15 19:12:31
94 192.168.0.200 playerVirtual16_4246147567 playerVirtual16 192.168.0.200 playerVirtual1 playerVirtual16_4246147567 0 2 4096 40 2018-02-15 16:30:57 2018-02-15 16:30:57
95 192.168.0.200 playerVirtual8_4246147567 playerVirtual8 192.168.0.200 playerVirtual18 playerVirtual18_08669d50b5 3 2 4096 40 2018-02-15 16:32:13 2018-02-15 16:45:24
96 192.168.0.200 playerVirtual1_4246147567 playerVirtual1 192.168.0.200 playerVirtual11 playerVirtual11_63f8e8ea94 3 2 4096 40 2018-02-15 16:34:35 2018-02-15 19:40:58
97 192.168.0.200 playerVirtual13_4246147567 playerVirtual13 192.168.0.200 playerVirtual14 playerVirtual14_ea63c0a5ee 3 2 4096 40 2018-02-15 16:35:21 2018-02-15 17:03:48
98 192.168.0.200 playerVirtual9_990694203 playerVirtual9 192.168.0.200 playerVirtual8 playerVirtual8_f0177a8b74 3 1 2048 20 2018-02-15 16:37:19 2018-02-15 16:42:05
99 192.168.0.200 playerVirtual18_4246147567 playerVirtual18 192.168.0.200 playerVirtual6 playerVirtual18_4246147567 0 2 4096 40 2018-02-15 16:39:33 2018-02-15 16:39:33
100 192.168.0.200 playerVirtual17_6322213339 playerVirtual17 192.168.0.200 playerVirtual19 playerVirtual19_e5b63da695 1 1 512 1 2018-02-15 16:40:59 NULL
101 192.168.0.200 playerVirtual19_4246147567 playerVirtual19 192.168.0.200 playerVirtual17 playerVirtual17_b560f020ad 3 2 4096 40 2018-02-15 16:44:32 2018-02-15 17:40:02
102 192.168.0.200 playerVirtual12_4246147567 playerVirtual12 192.168.0.200 playerVirtual9 playerVirtual12_4246147567 0 2 4096 40 2018-02-15 16:48:20 2018-02-15 16:48:20
103 192.168.0.200 playerVirtual6_4246147567 playerVirtual6 192.168.0.200 playerVirtual12 playerVirtual12_68855e7b9d 3 2 4096 40 2018-02-15 16:49:36 2018-02-15 16:56:48
104 192.168.0.200 playerVirtual14_4246147567 playerVirtual14 192.168.0.200 playerVirtual13 playerVirtual13_f8b578cf52 3 2 4096 40 2018-02-15 16:51:00 2018-02-15 19:46:35
105 192.168.0.200 playerVirtual17_4246147567 playerVirtual17 192.168.0.200 playerVirtual15 playerVirtual15_f671872c2b 3 2 4096 40 2018-02-15 16:53:55 2018-02-15 18:28:34
106 192.168.0.200 playerVirtual15_4246147567 playerVirtual15 192.168.0.200 playerVirtual16 playerVirtual16_6b0ddab9c0 1 2 4096 40 2018-02-15 16:55:48 NULL
107 192.168.0.200 playerVirtual11_4246147567 playerVirtual11 192.168.0.200 playerVirtual1 playerVirtual1_e0f572d581 3 2 4096 40 2018-02-15 16:58:10 2018-02-15 19:12:31
108 192.168.0.200 playerVirtual16_4246147567 playerVirtual16 192.168.0.200 playerVirtual18 playerVirtual18_87c68d551d 1 2 4096 40 2018-02-15 16:58:16 NULL
109 192.168.0.200 playerVirtual8_4246147567 playerVirtual8 192.168.0.200 playerVirtual11 playerVirtual8_4246147567 0 2 4096 40 2018-02-15 17:00:14 2018-02-15 17:00:14
110 192.168.0.200 playerVirtual13_4246147567 playerVirtual13 192.168.0.200 playerVirtual14 playerVirtual14_105a1e1d02 3 2 4096 40 2018-02-15 17:02:05 2018-02-15 17:03:48
